Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara (%),wakil,,,
70,2018,Kabupaten Pasuruan,1,Wakil Bupati,"K.H. A. Mujib Imron, Sh., Mh",535453,77.44,TRUE,1,,124.1
71,2018,Kabupaten Probolinggo,1,Wakil Bupati,Drs. H. A. Timbul Prihanjoko,345797,57.66,TRUE,0,100,
71,2018,Kabupaten Probolinggo,2,Wakil Bupati,"H. Mohammad Muzayyan, M.H.I",253918,42.34,TRUE,1,,100
72,2018,Kabupaten Sampang,1,Wakil Bupati,H. Abdullah Hidayat,252078,38.22,TRUE,0,75.27,
72,2018,Kabupaten Sampang,2,Wakil Bupati,H. Suparto,244348,37.05,TRUE,0,61.78,
72,2018,Kabupaten Sampang,3,Wakil Bupati,H. Abdullah. Se,16311,24.73,TRUE,1,,61.78
73,2018,Kabupaten Tulungagung,1,Wakil Bupati,Eko Prisdianto,237614,40.06,TRUE,0,100,
73,2018,Kabupaten Tulungagung,2,Wakil Bupati,"Drs. H. Maryoto Birowo, Mm",355564,59.94,TRUE,1,,100
74,2018,Kabupaten Kayong Utara,1,Wakil Bupati,"Zulkaslim Pebrata Tamura, S.Pd",19381,34.84,TRUE,0,79.75,
74,2018,Kabupaten Kayong Utara,2,Wakil Bupati,"H. Effendi Ahmad, S.Pdi",24978,44.91,TRUE,0,65.16,
74,2018,Kabupaten Kayong Utara,3,Wakil Bupati,Bukhori,11264,20.25,TRUE,1,,65.16
75,2018,Kota Pontianak,1,Wakil Walikota,Yandi,53987,17.16,TRUE,0,81.06,
75,2018,Kota Pontianak,2,Wakil Walikota,"Bahasan, Sh",201076,63.9,TRUE,0,82.84,
75,2018,Kota Pontianak,3,Wakil Walikota,"Alpian Aminardi, Sh, Mh",59615,18.94,TRUE,1,,82.84
76,2018,Kabupaten Kubu Raya,1,Wakil Bupati,"Sujiwo, Se",19445,69.9,TRUE,0,83.96,
76,2018,Kabupaten Kubu Raya,2,Wakil Bupati,H. Muhammad Nasir Maksudi,39111,14.06,TRUE,0,30.1,
76,2018,Kabupaten Kubu Raya,3,Wakil Bupati,Kohim,44624,16.04,TRUE,1,,30.1
77,2018,Kabupaten Mempawah,1,Wakil Bupati,"Hermanto Lim,Se",16991,12.96,TRUE,0,35.55,
77,2018,Kabupaten Mempawah,2,Wakil Bupati,"H.Ridwan Rusli,Sh.,Mm.",29621,22.59,TRUE,0,64.09,
77,2018,Kabupaten Mempawah,3,Wakil Bupati,"H.Muhammad Pagi,S.Hi.,Mm.",54424,41.5,TRUE,0,64.46,
77,2018,Kabupaten Mempawah,4,Wakil Bupati,Drs. H. Mochrizal,30114,22.96,TRUE,1,,64.46
78,2018,Kabupaten Sanggau,1,Wakil Bupati,"Fransiskus  Ason, Sp",100004,42.91,TRUE,0,100,
78,2018,Kabupaten Sanggau,2,Wakil Bupati,"Drs. Yohanes Ontot, M.Si",133032,57.09,TRUE,1,,100
79,2018,Kabupaten Hulu Sungai Selatan,1,Wakil Bupati,"H.Muhamad Ridha, Sh",41349,34.54,TRUE,0,100,
79,2018,Kabupaten Hulu Sungai Selatan,2,Wakil Bupati,"Syamsuri Arsyad, S.Ap",78371,65.46,TRUE,1,,100
80,2018,Kabupaten Tabalong,1,Wakil Bupati,H.Eddyan Noor Idur,40765,32.93,TRUE,0,39.48,
80,2018,Kabupaten Tabalong,2,Wakil Bupati,"H.Ali Sibqi, S.Pi",8103,6.55,TRUE,0,42.5,
80,2018,Kabupaten Tabalong,3,Wakil Bupati,"Drs. H. Mawardi, M.Si",44496,35.95,TRUE,0,60.52,
80,2018,Kabupaten Tabalong,4,Wakil Bupati,"Aspianor, S.Ikom, Sh,Mh",30418,24.57,TRUE,1,,60.52
81,2018,Kabupaten Tanah Laut,1,Wakil Bupati,"Abdi Rahman, S.Pd",107798,62.3,TRUE,0,100,
81,2018,Kabupaten Tanah Laut,2,Wakil Bupati,"Ir. H. Ahmad Nizar, S.Sos, M.Si",6522,37.7,TRUE,1,,100
82,2018,Kabupaten Tapin,1,Wakil Bupati,"H. Syafrudin Noor, Se, S.Sos",8583,80.87,TRUE,1,,118.57
83,2018,Kabupaten Barito Timur,1,Wakil Bupati,Drs. H. Mukhtar Abdul Rahman,12497,21.89,TRUE,0,57,
83,2018,Kabupaten Barito Timur,2,Wakil Bupati,Yudha Nyampai,20049,35.11,TRUE,0,78.11,
83,2018,Kabupaten Barito Timur,3,Wakil Bupati,Habib Said Abdul Saleh,24555,43,TRUE,1,,78.11
84,2018,Kabupaten Barito Utara,1,Wakil Bupati,"Sugianto Panala Putra, Sh",39281,69.02,TRUE,0,100,
84,2018,Kabupaten Barito Utara,2,Wakil Bupati,Drs. Ompie Herby,17631,30.98,TRUE,1,,100
85,2018,Kabupaten Gunung Mas,1,Wakil Bupati,"Dr. Drs. Gaya, M.Pd.H",1279,22.97,TRUE,0,59.58,
85,2018,Kabupaten Gunung Mas,2,Wakil Bupati,"Suprapto Sungan, Sh",20387,36.61,TRUE,0,77.03,
85,2018,Kabupaten Gunung Mas,3,Wakil Bupati,"Ir. Efrensia L.P Umbing, M.Si",22509,40.42,TRUE,1,,77.03
86,2018,Kabupaten Kapuas,1,Wakil Bupati,"Drs.H.M. Nafiah Ibnor,Mm",93062,56.4,TRUE,0,100,
86,2018,Kabupaten Kapuas,2,Wakil Bupati,"Ir. H. Muhajirin, Mp",71937,43.6,TRUE,1,,100
87,2018,Kabupaten Katingan,1,Wakil Bupati,Sunardi,1951,27.79,TRUE,0,48.6,
87,2018,Kabupaten Katingan,2,Wakil Bupati,"Maspek J. Garang, Se",14608,20.81,TRUE,0,44.15,
87,2018,Kabupaten Katingan,3,Wakil Bupati,"Winda Natalia,S.Hut,M.Si",16389,23.34,TRUE,0,36.35,
87,2018,Kabupaten Katingan,4,Wakil Bupati,Ali Sameon Anom,9134,13.01,TRUE,0,28.07,
87,2018,Kabupaten Katingan,5,Wakil Bupati,Drs. Elman D. Dangan,10572,15.06,TRUE,1,,28.07
88,2018,Kota Palangkaraya,1,Wakil Walikota,"H. Rahmadi Hn,Sh.,Mpa",9822,8.65,TRUE,0,22.53,
88,2018,Kota Palangkaraya,2,Wakil Walikota,"Rogas Usup, St",15757,13.88,TRUE,0,57.47,
88,2018,Kota Palangkaraya,3,Wakil Walikota,"Hj. Umi Mastikah, Sh",49482,43.59,TRUE,0,77.46,
88,2018,Kota Palangkaraya,4,Wakil Walikota,"Habib Said Akhmad Fawzi Zain Bachsin, S.Hi",38452,33.87,TRUE,1,,77.46
89,2018,Kabupaten Lamandau,1,Wakil Bupati,Gandhi Nuswantara,2544,6.37,TRUE,0,11.06,
89,2018,Kabupaten Lamandau,2,Wakil Bupati,"H. Karyadi, Sh",1872,4.69,TRUE,0,33.04,
89,2018,Kabupaten Lamandau,3,Wakil Bupati,Taufik Hidayat,11317,28.35,TRUE,0,88.94,
89,2018,Kabupaten Lamandau,4,Wakil Bupati,"Riko Porwanto, S.Stp",24189,60.59,TRUE,1,,88.94
90,2018,Kabupaten Murung Raya,1,Wakil Bupati,"Susilo, Se, Mm",21708,41.15,TRUE,0,98.34,
90,2018,Kabupaten Murung Raya,2,Wakil Bupati,"Rejikinoor, S.Sos",3017,57.19,TRUE,0,58.85,
90,2018,Kabupaten Murung Raya,3,Wakil Bupati,"Dihasbi, S.Pd.I.,M.Pd",877,1.66,TRUE,1,,58.85
91,2018,Kabupaten Pulang Pisau,1,Wakil Bupati,"H. Ahmad Jayadikarta, S.Ip.",33012,47.97,TRUE,0,100,
91,2018,Kabupaten Pulang Pisau,2,Wakil Bupati,Pudjirustaty Narang,35811,52.03,TRUE,1,,100
92,2018,Kabupaten Seruyan,1,Wakil Bupati,"Hairil Yadi, S.H.",20536,33.9,TRUE,0,54.47,
92,2018,Kabupaten Seruyan,2,Wakil Bupati,"Soetoyo. S Darno, M.M.",12462,20.57,TRUE,0,66.1,
92,2018,Kabupaten Seruyan,3,Wakil Bupati,"Hj. Iswanti, S.E., M.M.",27583,45.53,TRUE,1,,66.1
93,2018,Kabupaten Sukamara,1,Wakil Bupati,Ir. H. Mohamad Yamin,10799,36.02,TRUE,0,52.63,
93,2018,Kabupaten Sukamara,2,Wakil Bupati,"Daman Huri, S.Ip",4981,16.61,TRUE,0,63.98,
93,2018,Kabupaten Sukamara,3,Wakil Bupati,"H. Ahmadi, Sh",14203,47.37,TRUE,1,,63.98
94,2018,Kabupaten Penajam Paser Utara,1,Wakil Bupati,"Sofian Nur, St",13202,16.08,TRUE,0,54.63,
94,2018,Kabupaten Penajam Paser Utara,2,Wakil Bupati,"H. Fadly Imawan, Sp.Mp",3166,38.55,TRUE,0,83.92,
94,2018,Kabupaten Penajam Paser Utara,3,Wakil Bupati,Ir. H. Hamdam,37265,45.37,TRUE,1,,83.92
95,2018,Kota Tarakan,1,Wakil Walikota,"H. Mahrudin Mado, Se",25611,28.13,TRUE,0,59,
95,2018,Kota Tarakan,2,Wakil Walikota,Effendhi Djuprianto,28099,30.87,TRUE,0,50.56,
95,2018,Kota Tarakan,3,Wakil Walikota,Ince A. Rifai,17924,19.69,TRUE,0,41,
95,2018,Kota Tarakan,4,Wakil Walikota,"Sabar Santuso, St., Mpd",19399,21.31,TRUE,1,,41
96,2018,Kabupaten Bangka,1,Wakil Bupati,"Amri Cahyadi, St",34706,28.48,TRUE,0,77.14,
96,2018,Kabupaten Bangka,2,Wakil Bupati,"Syahbudin, S.Ip",59304,48.66,TRUE,0,71.52,
96,2018,Kabupaten Bangka,3,Wakil Bupati,"Fadillah Sabri, St, M.Eng",27864,22.86,TRUE,1,,71.52
97,2018,Kabupaten Belitung,1,Wakil Bupati,Drs. H. Erwandi A Rani,22458,26.13,TRUE,0,56.35,
97,2018,Kabupaten Belitung,2,Wakil Bupati,Junaidi Rachman,25973,30.22,TRUE,0,40.88,
97,2018,Kabupaten Belitung,3,Wakil Bupati,"Zulfriandi Afan, Se",9163,10.66,TRUE,0,43.66,
97,2018,Kabupaten Belitung,4,Wakil Bupati,"Isyak Meirobie, S.Sn",28366,33,TRUE,1,,43.66
98,2018,Kota Pangkalpinang,1,Wakil Walikota,"Ir. B. Sarjulianto, Dipl., S.E.",6562,8.58,TRUE,0,41.65,
98,2018,Kota Pangkalpinang,2,Wakil Walikota,Drs. H. Edison,25283,33.07,TRUE,0,74.66,
98,2018,Kota Pangkalpinang,3,Wakil Walikota,"Muhammad Sopian, B.A.",31792,41.59,TRUE,0,58.35,
98,2018,Kota Pangkalpinang,4,Wakil Walikota,Ismiryadi,12812,16.76,TRUE,1,,58.35
99,2018,Kota Tanjungpinang,1,Wakil Walikota,"Rahma, S.Ip",42559,51.45,TRUE,0,100,
99,2018,Kota Tanjungpinang,2,Wakil Walikota,Dr.Maya Suryanti,40161,48.55,TRUE,1,,100
100,2018,Kabupaten Lampung Utara,1,Wakil Bupati,"M. YUSRIZAL, ST",97014,32.84,TRUE,0,50.54,
100,2018,Kabupaten Lampung Utara,2,Wakil Bupati,"Dra. ICE SURYANA, S.Pd",52276,17.7,TRUE,0,67.17,
100,2018,Kabupaten Lampung Utara,3,Wakil Bupati,"H. BUDI UTOMO, SE. MM",146137,49.47,TRUE,1,,67.17
101,2018,Kabupaten Tanggamus,1,Wakil Bupati,"Hi. Am. Syafi?I, S.Ag",170399,55.96,TRUE,0,100,
101,2018,Kabupaten Tanggamus,2,Wakil Bupati,"Hi. Nuzul Irsan, Se",134084,44.04,TRUE,1,,100
102,2018,Kota Tual,1,Wakil Walikota,"Eva Fransina Balubun, S.Pt",6297,19.59,TRUE,0,69.22,
102,2018,Kota Tual,2,Wakil Walikota,Usman Tamnge,15956,49.63,TRUE,0,80.41,
102,2018,Kota Tual,3,Wakil Walikota,"Fadillah Rahawarin, S.Pi",9896,30.78,TRUE,1,,80.41
103,2018,Kabupaten Maluku Tenggara,1,Wakil Bupati,Hamza Rahayaan,13047,24.21,TRUE,0,57.18,
103,2018,Kabupaten Maluku Tenggara,2,Wakil Bupati,"Abdurrahman Matdoan, S.Pd.I",17769,32.97,TRUE,0,75.8,
103,2018,Kabupaten Maluku Tenggara,3,Wakil Bupati,"Ir. Petrus Beruatwarin, M.Si",23083,42.83,TRUE,1,,75.8
104,2018,Kota Bima,1,Wakil Walikota,"Hj. Ferra Amelia, Se.,Mm",34902,39.54,TRUE,0,83.82,
104,2018,Kota Bima,2,Wakil Walikota,"Feri Sofiyan, Sh",39081,44.28,TRUE,0,60.46,
104,2018,Kota Bima,3,Wakil Walikota,Wahyudin,1428,16.18,TRUE,1,,60.46
105,2018,Kabupaten Lombok Barat,1,Wakil Bupati,"Tgh. Khudari Ibrahim, Lc., Mh",73406,21.24,TRUE,0,54.13,
105,2018,Kabupaten Lombok Barat,2,Wakil Bupati,"Tgh. Muammar Arafat, Sh., Mh",113642,32.89,TRUE,0,78.76,
105,2018,Kabupaten Lombok Barat,3,Wakil Bupati,Hj. Sumiatun,158502,45.87,TRUE,1,,78.76
106,2018,Kabupaten Lombok Timur,1,Wakil Bupati,"H. Machsun Ridwainny.,S.Sos.,M.B.A",174188,26.89,TRUE,0,31.99,
106,2018,Kabupaten Lombok Timur,2,Wakil Bupati,"Putrawan Habibi, S.P.,M.P.",3303,5.1,TRUE,0,46.94,
106,2018,Kabupaten Lombok Timur,3,Wakil Bupati,"Rumaksi Sj., S.H.",27107,41.84,TRUE,0,68.02,
106,2018,Kabupaten Lombok Timur,4,Wakil Bupati,H. Najamuddin Moestafa,169607,26.18,TRUE,1,,68.02
107,2018,Kabupaten Alor,1,Wakil Bupati,"H. Taufik Nampira, Sp. Mm",51796,46.35,TRUE,0,100,
107,2018,Kabupaten Alor,2,Wakil Bupati,"Imran Duru, S.Pd",59953,53.65,TRUE,1,,100
108,2018,Kabupaten Ende,1,Wakil Bupati,"H.Munawar.A Achmad,S.Sos",49796,37.92,TRUE,0,100,
108,2018,Kabupaten Ende,2,Wakil Bupati,"Drs. H. Djafar Achmad, Mm",81532,62.08,TRUE,1,,100
109,2018,Kabupaten Kupang,1,Wakil Bupati,"Aljery Esau Monas, S.Tp",37771,24.28,TRUE,0,57.28,
109,2018,Kabupaten Kupang,2,Wakil Bupati,"Jerry Manafe, Sh, M.Th",51324,33,TRUE,0,48.23,
109,2018,Kabupaten Kupang,3,Wakil Bupati,Bernard Paulus Thomas Wellem Bait,23693,15.23,TRUE,0,33.43,
109,2018,Kabupaten Kupang,4,Wakil Bupati,"Joao Antonio De Jesus Costa, Sh",28307,18.2,TRUE,0,27.49,
109,2018,Kabupaten Kupang,5,Wakil Bupati,"Johannis Silvester Ottemoesoe, Se",14448,9.29,TRUE,1,,27.49
110,2018,Kabupaten Manggarai Timur,1,Wakil Bupati,Drs. Jaghur Stefanus,46501,32.62,TRUE,0,50.93,
110,2018,Kabupaten Manggarai Timur,2,Wakil Bupati,Sirajudin Paskalis,26099,18.31,TRUE,0,48.29,
110,2018,Kabupaten Manggarai Timur,3,Wakil Bupati,"Yoseph Byron Aur, S.Sos",4274,29.98,TRUE,0,40.13,
110,2018,Kabupaten Manggarai Timur,4,Wakil Bupati,Fransiskus Anggal,14465,10.15,TRUE,0,19.1,
110,2018,Kabupaten Manggarai Timur,5,Wakil Bupati,"Kasmir Don, Sh",12752,8.95,TRUE,1,,19.1
111,2018,Kabupaten Nagekeo,1,Wakil Bupati,"Oskarianus Meta, Ss",2968,3.9,TRUE,0,34.94,
111,2018,Kabupaten Nagekeo,2,Wakil Bupati,"Marianus Waja, Sh",23613,31.04,TRUE,0,59.8,
111,2018,Kabupaten Nagekeo,3,Wakil Bupati,Servasius Phodi,2188,28.76,TRUE,0,35.44,
111,2018,Kabupaten Nagekeo,4,Wakil Bupati,Ndait Adrianus,5081,6.68,TRUE,0,36.31,
111,2018,Kabupaten Nagekeo,5,Wakil Bupati,Marselinus F. Ajo Bupu,22543,29.63,TRUE,1,,36.31
112,2018,Kabupaten Rote Ndao,1,Wakil Bupati,"Dr. Adolfina Elisabeth Koamesakh, M.Th.,M.Hum",14204,21.72,TRUE,0,36.38,
112,2018,Kabupaten Rote Ndao,2,Wakil Bupati,Drs. Samuel Conny Penna,9585,14.66,TRUE,0,48.45,
112,2018,Kabupaten Rote Ndao,3,Wakil Bupati,"Stefanus M. Saek, Se, M.Si",22098,33.79,TRUE,0,63.62,
112,2018,Kabupaten Rote Ndao,4,Wakil Bupati,"Drs. Erenst Salmun Zadrak Pella, M.Si",19504,29.83,TRUE,1,,63.62
113,2018,Kabupaten Sikka,1,Wakil Bupati,"Fransiskus Stephanus Say, Se",49696,31.62,TRUE,0,71.73,
113,2018,Kabupaten Sikka,2,Wakil Bupati,Romanus Woga,6304,40.11,TRUE,0,68.37,
113,2018,Kabupaten Sikka,3,Wakil Bupati,"Rafael Raga, Sp",44417,28.26,TRUE,1,,68.37
114,2018,Kabupaten Sumba Barat Daya,1,Wakil Bupati,"Gerson Tanggu Dendo, Sh",63886,44.58,TRUE,0,52.71,
114,2018,Kabupaten Sumba Barat Daya,2,Wakil Bupati,"Kornelis Tanggu Bore, Sh",11658,8.13,TRUE,0,55.42,
114,2018,Kabupaten Sumba Barat Daya,3,Wakil Bupati,"Marthen Christian Taka, S.Ip",67763,47.29,TRUE,1,,55.42
115,2018,Kabupaten Sumba Tengah,1,Wakil Bupati,"Umbu Windi, S.Ipem",6965,18.67,TRUE,0,47.13,
115,2018,Kabupaten Sumba Tengah,2,Wakil Bupati,Ir. Daniel Landa,10619,28.46,TRUE,0,45.56,
115,2018,Kabupaten Sumba Tengah,3,Wakil Bupati,"Samuel Saki Pekulimu,S.Sos",6379,17.1,TRUE,0,30.04,
115,2018,Kabupaten Sumba Tengah,4,Wakil Bupati,"Marthinus Umbu Djoka, S.Hut, M.Si",4827,12.94,TRUE,0,35.79,
115,2018,Kabupaten Sumba Tengah,5,Wakil Bupati,Drs. Tagela Ibi Sola,8525,22.85,TRUE,1,,35.79
116,2018,Kabupaten Timor Tengah Selatan,1,Wakil Bupati,Ir. Yaan Mazrich Jermias Tanaem,32192,16.3,TRUE,0,49.13,
116,2018,Kabupaten Timor Tengah Selatan,2,Wakil Bupati,"Alexander Kase, S.Pd.K",64839,32.83,TRUE,0,65.54,
116,2018,Kabupaten Timor Tengah Selatan,3,Wakil Bupati,"Johny Army Konay, Sh",64607,32.71,TRUE,0,50.87,
116,2018,Kabupaten Timor Tengah Selatan,4,Wakil Bupati,"Yefta Ambrosius Lodowijk Mella, A.Md",35858,18.16,TRUE,1,,50.87
117,2018,Kabupaten Biak Numfor,1,Wakil Bupati,"Justinus Wihelmus Noriwari, S.Th",12043,23.36,TRUE,0,66.25,
117,2018,Kabupaten Biak Numfor,2,Wakil Bupati,"Nehemia Wospakrik, Se.,Mm.,B.Sc.",22108,42.89,TRUE,0,76.64,
117,2018,Kabupaten Biak Numfor,3,Wakil Bupati,Ir. Akmal Bachri Hi Kalabe,17397,33.75,TRUE,1,,76.64
118,2018,Kabupaten Deiyai,1,Wakil Bupati,Hengky Pigai S.Pt,15804,32.02,TRUE,0,47.03,
118,2018,Kabupaten Deiyai,2,Wakil Bupati,Abraham Tekege,7411,15.01,TRUE,0,38.93,
118,2018,Kabupaten Deiyai,3,Wakil Bupati,"Robert Dawapa, S.Sos",11808,23.92,TRUE,0,52.96,
118,2018,Kabupaten Deiyai,4,Wakil Bupati,Anakletus Doo,14335,29.04,TRUE,1,,52.96
119,2018,Kabupaten Jayawijaya,1,Wakil Bupati,"Marthin Yogobi Sh,M.Hum.",0,0,TRUE,1,,29.04
120,2018,Kabupaten Mamberamo Tengah,1,Wakil Bupati,"Yonas Kenelak, S. Sos",0,0,TRUE,1,,0
121,2018,Kabupaten Mimika,1,Wakil Bupati,Alpius Edowai,0,0,TRUE,0,7.93,
121,2018,Kabupaten Mimika,2,Wakil Bupati,"Albert Bolang, Sh. Mh",129,7.93,TRUE,0,10.51,
121,2018,Kabupaten Mimika,3,Wakil Bupati,"Athanasius Allo Rafra,Sh. Msi",42,2.58,TRUE,0,24.4,
121,2018,Kabupaten Mimika,4,Wakil Bupati,"Abd Muis, S.T. M.M",355,21.82,TRUE,0,21.88,
121,2018,Kabupaten Mimika,5,Wakil Bupati,"Yustus Way, S.Sos",1,0.06,TRUE,0,67.67,
121,2018,Kabupaten Mimika,6,Wakil Bupati,"Johanes Rettob, S.Sos, M.M",11,67.61,TRUE,0,67.61,
121,2018,Kabupaten Mimika,7,Wakil Bupati,H.Basri,0,0,TRUE,1,,67.61
122,2018,Kabupaten Paniai,1,Wakil Bupati,Drs. Yeheskiel Tenouye,0,0,TRUE,0,0,
122,2018,Kabupaten Paniai,2,Wakil Bupati,"Marten Mote, Se",0,0,TRUE,0,0,
122,2018,Kabupaten Paniai,3,Wakil Bupati,"Oktopianus Gobai, S.Ip",0,0,TRUE,0,0,
122,2018,Kabupaten Paniai,4,Wakil Bupati,"Markus Boma, S.Pd",0,0,TRUE,0,0,
122,2018,Kabupaten Paniai,5,Wakil Bupati,"Yan Tebai, S.Sos., M.Si",0,0,TRUE,1,,0
123,2018,Kabupaten Puncak,1,Wakil Bupati,"Pelinus Balinal. S.Sos, Ag",0,0,TRUE,1,,0
124,2018,Kabupaten Indragiri Hilir,1,Wakil Bupati,"Musmulyadi, Ss",56073,23.35,TRUE,0,48.3,
124,2018,Kabupaten Indragiri Hilir,2,Wakil Bupati,"Dr. H. Ali Azhar, S.Sos, Mh",59939,24.95,TRUE,0,76.65,
124,2018,Kabupaten Indragiri Hilir,3,Wakil Bupati,H. Syamsuddin Uti,124178,51.7,TRUE,1,,76.65
125,2018,Kabupaten Mamasa,1,Wakil Bupati,Marthinus Tiranda,48618,61.24,TRUE,1,,112.94
126,2018,Kabupaten Polewali Mandar,1,Wakil Bupati,"Marwan, St",97922,44.66,TRUE,0,100,
126,2018,Kabupaten Polewali Mandar,2,Wakil Bupati,"Drs. H. M. Natsir Rahmat, Mm",121347,55.34,TRUE,1,,100
127,2018,Kabupaten Bantaeng,1,Wakil Bupati,Nurdin Halim,17155,16.22,TRUE,0,54.07,
127,2018,Kabupaten Bantaeng,2,Wakil Bupati,Andi Mappatoba,40017,37.85,TRUE,0,83.78,
127,2018,Kabupaten Bantaeng,3,Wakil Bupati,Drs. H. Sahabuddin,48562,45.93,TRUE,1,,83.78
128,2018,Kabupaten Bone,1,Wakil Bupati,"Drs. H. Ambo Dalle, Mm.",232961,62.95,TRUE,1,,108.88
129,2018,Kabupaten Enrekang,1,Wakil Bupati,"Asman, Se",68384,69.4,TRUE,1,,132.35
130,2018,Kabupaten Jeneponto,1,Wakil Bupati,"Muhammad Kasmin, Ms, Se",63369,30.23,TRUE,0,49.9,
130,2018,Kabupaten Jeneponto,2,Wakil Bupati,Andi Tahal Fasni,41231,19.67,TRUE,0,63.05,
130,2018,Kabupaten Jeneponto,3,Wakil Bupati,"H. Paris Yasir, Se",90942,43.38,TRUE,0,50.1,
130,2018,Kabupaten Jeneponto,4,Wakil Bupati,"H. Isnaad Ibrahim, Sh",14094,6.72,TRUE,1,,50.1
131,2018,Kota Makassar,1,Wakil Walikota,Drg. A. Rachmatika Dewi Yustitia Iqbal,212143,46.3,TRUE,1,,53.02
132,2018,Kota Palopo,1,Wakil Walikota,"Ir. H. Rahmat Masri Bandaso, M.Si",51695,60.4,TRUE,0,100,
132,2018,Kota Palopo,2,Wakil Walikota,"Budi Sada, S.Ip, Mm",33887,39.6,TRUE,1,,100
133,2018,Kota Pare Pare,1,Wakil Walikota,H. Pangerang Rahim,39996,51.22,TRUE,0,100,
133,2018,Kota Pare Pare,2,Wakil Walikota,"Asriady Samad, A.Md",38098,48.78,TRUE,1,,100
134,2018,Kabupaten Luwu,1,Wakil Bupati,Syukur Bijak,117027,60.58,TRUE,0,100,
134,2018,Kabupaten Luwu,2,Wakil Bupati,"Emmy Tallesang, Ma",76141,39.42,TRUE,1,,100
135,2018,Kabupaten Pinrang,1,Wakil Bupati,H. Usman Marham,81191,38.08,TRUE,0,78.51,
135,2018,Kabupaten Pinrang,2,Wakil Bupati,"Drs.H. Alimin,M.Si",862,40.43,TRUE,0,58.03,
135,2018,Kabupaten Pinrang,3,Wakil Bupati,"H. A. Sofyan Nawir, S.Sos.,M.Si",37535,17.6,TRUE,0,21.49,
135,2018,Kabupaten Pinrang,4,Wakil Bupati,"Ahsan, Sh",8301,3.89,TRUE,1,,21.49
136,2018,Kabupaten Sidenreng Rappang,1,Wakil Bupati,"Abdul Majid Hafid, Se., M. Si",67128,38.86,TRUE,0,100,
136,2018,Kabupaten Sidenreng Rappang,2,Wakil Bupati,Ir. Mahmud Yusuf,105598,61.14,TRUE,1,,100
137,2018,Kabupaten Sinjai,1,Wakil Bupati,A. Kartini,51069,37.96,TRUE,0,68.17,
137,2018,Kabupaten Sinjai,2,Wakil Bupati,"A. Mahyanto Massarappi, Sh., Mh",40636,30.21,TRUE,0,62.04,
137,2018,Kabupaten Sinjai,3,Wakil Bupati,"Mizar Roem, Se",42828,31.83,TRUE,1,,62.04
138,2018,Kabupaten Wajo,1,Wakil Bupati,"H. Amran, Se",104384,57.91,TRUE,0,100,
138,2018,Kabupaten Wajo,2,Wakil Bupati,"Kh. Anwar Sadat Bin Abudl Malik, Lc.,M.A",75876,42.09,TRUE,1,,100
139,2018,Kabupaten Donggala,1,Wakil Bupati,"Abdul Rahman, St, Iai",39727,25.95,TRUE,0,60.6,
139,2018,Kabupaten Donggala,2,Wakil Bupati,"Moh. Yasin, S.Sos",53042,34.65,TRUE,0,61.99,
139,2018,Kabupaten Donggala,3,Wakil Bupati,"Taufik M. Burhan, S.Pd, M.Si",41858,27.34,TRUE,0,39.41,
139,2018,Kabupaten Donggala,4,Wakil Bupati,"Mohamad Yasin. M. Lataka, Se, Mm",18472,12.07,TRUE,1,,39.41
140,2018,Kabupaten Morowali,1,Wakil Bupati,"Dr. H. Najamudin, S.Ag, S.Pd, M.Pd",26277,35.65,TRUE,0,59.74,
140,2018,Kabupaten Morowali,2,Wakil Bupati,Aminudin Awaludin,17758,24.09,TRUE,0,51.8,
140,2018,Kabupaten Morowali,3,Wakil Bupati,"Drs. H.Chaerudin N,Zen,Mm",20423,27.71,TRUE,0,31.9,
140,2018,Kabupaten Morowali,4,Wakil Bupati,Sunardin Firdaus,3089,4.19,TRUE,0,12.55,
140,2018,Kabupaten Morowali,5,Wakil Bupati,Drs. Ismail Suaib,6164,8.36,TRUE,1,,12.55
141,2018,Kabupaten Parigi Moutong,1,Wakil Bupati,"Badrun Nggai, Se",99069,44.73,TRUE,0,65.67,
141,2018,Kabupaten Parigi Moutong,2,Wakil Bupati,"Rahmawati M. Nur, S.Ag",46368,20.94,TRUE,0,55.27,
141,2018,Kabupaten Parigi Moutong,3,Wakil Bupati,"Dra. Hj. Yufni Bungkundapu, M.Si",76031,34.33,TRUE,1,,55.27
142,2018,Kabupaten Kolaka,1,Wakil Bupati,"H. Muhammad Jayadin, Se., M.E",73004,62.82,TRUE,0,100,
142,2018,Kabupaten Kolaka,2,Wakil Bupati,"H. Syahrul Beddu, S.Ip., Mh",43204,37.18,TRUE,1,,100
143,2018,Kabupaten Konawe,1,Wakil Bupati,"Ir. Mansur, Mt",2905,2.18,TRUE,0,22.93,
143,2018,Kabupaten Konawe,2,Wakil Bupati,Hj. Murni Tombili,27624,20.75,TRUE,0,48.5,
143,2018,Kabupaten Konawe,3,Wakil Bupati,"Adi Jaya Putra, B.Bus.,M.Com",36942,27.75,TRUE,0,77.06,
143,2018,Kabupaten Konawe,4,Wakil Bupati,"Gusli Topan Sabara, St., Mm",65646,49.31,TRUE,1,,77.06
144,2018,Kota Bau Bau,1,Wakil Walikota,La Ode Yasin,16094,24.57,TRUE,0,55.49,
