Provinsi,Kabupaten/Kota,Indikator,Jumlah
Jawa Timur,Kota Malang,Jumlah Pemilih Laki-Laki,294171
Jawa Timur,Kota Mojokerto,Jumlah Pemilih Laki-Laki,46935
Jawa Timur,Kota Pasuruan,Jumlah Pemilih Laki-Laki,68513
Jawa Timur,Kota Probolinggo,Jumlah Pemilih Laki-Laki,79574
Jawa Timur,Kota Surabaya,Jumlah Pemilih Laki-Laki,980081
Jawa Timur,Lamongan,Jumlah Pemilih Laki-Laki,513591
Jawa Timur,Lumajang,Jumlah Pemilih Laki-Laki,395703
Jawa Timur,Madiun,Jumlah Pemilih Laki-Laki,275318
Jawa Timur,Magetan,Jumlah Pemilih Laki-Laki,256336
Jawa Timur,Malang,Jumlah Pemilih Laki-Laki,979117
Jawa Timur,Mojokerto,Jumlah Pemilih Laki-Laki,403532
Jawa Timur,Nganjuk,Jumlah Pemilih Laki-Laki,423321
Jawa Timur,Ngawi,Jumlah Pemilih Laki-Laki,343331
Jawa Timur,Pacitan,Jumlah Pemilih Laki-Laki,227722
Jawa Timur,Pamekasan,Jumlah Pemilih Laki-Laki,32843
Jawa Timur,Pasuruan,Jumlah Pemilih Laki-Laki,567516
Jawa Timur,Ponorogo,Jumlah Pemilih Laki-Laki,369619
Jawa Timur,Probolinggo,Jumlah Pemilih Laki-Laki,409596
Jawa Timur,Sampang,Jumlah Pemilih Laki-Laki,397031
Jawa Timur,Sidoarjo,Jumlah Pemilih Laki-Laki,670365
Jawa Timur,Situbondo,Jumlah Pemilih Laki-Laki,22754
Jawa Timur,Sumenep,Jumlah Pemilih Laki-Laki,401586
Jawa Timur,Trenggalek,Jumlah Pemilih Laki-Laki,287759
Jawa Timur,Tuban,Jumlah Pemilih Laki-Laki,456515
Jawa Timur,Tulungagung,Jumlah Pemilih Laki-Laki,419843
Kalimantan Barat,Bengkayang,Jumlah Pemilih Laki-Laki,85325
Kalimantan Barat,Kapuas Hulu,Jumlah Pemilih Laki-Laki,86633
Kalimantan Barat,Kayong Utara,Jumlah Pemilih Laki-Laki,38885
Kalimantan Barat,Ketapang,Jumlah Pemilih Laki-Laki,173554
Kalimantan Barat,Kota Pontianak,Jumlah Pemilih Laki-Laki,211246
Kalimantan Barat,Kota Singkawang,Jumlah Pemilih Laki-Laki,74301
Kalimantan Barat,Kubu Raya,Jumlah Pemilih Laki-Laki,201549
Kalimantan Barat,Landak,Jumlah Pemilih Laki-Laki,138082
Kalimantan Barat,Melawi,Jumlah Pemilih Laki-Laki,76475
Kalimantan Barat,Mempawah,Jumlah Pemilih Laki-Laki,91408
Kalimantan Barat,Sambas,Jumlah Pemilih Laki-Laki,206704
Kalimantan Barat,Sanggau,Jumlah Pemilih Laki-Laki,15925
Kalimantan Barat,Sekadau,Jumlah Pemilih Laki-Laki,74906
Kalimantan Barat,Sintang,Jumlah Pemilih Laki-Laki,138421
Kalimantan Selatan,Hulu Sungai Selatan,Jumlah Pemilih Laki-Laki,80692
Kalimantan Selatan,Tabalong,Jumlah Pemilih Laki-Laki,81179
Kalimantan Selatan,Tanah Laut,Jumlah Pemilih Laki-Laki,115434
Kalimantan Selatan,Tapin,Jumlah Pemilih Laki-Laki,63626
Kalimantan Tengah,Barito Timur,Jumlah Pemilih Laki-Laki,37951
Kalimantan Tengah,Barito Utara,Jumlah Pemilih Laki-Laki,49487
Kalimantan Tengah,Gunung Mas,Jumlah Pemilih Laki-Laki,40034
Kalimantan Tengah,Kapuas,Jumlah Pemilih Laki-Laki,132719
Kalimantan Tengah,Katingan,Jumlah Pemilih Laki-Laki,57356
Kalimantan Tengah,Kota Palangkaraya,Jumlah Pemilih Laki-Laki,87765
Kalimantan Tengah,Lamandau,Jumlah Pemilih Laki-Laki,31668
Kalimantan Tengah,Murung Raya,Jumlah Pemilih Laki-Laki,39297
Kalimantan Tengah,Pulang Pisau,Jumlah Pemilih Laki-Laki,47455
Kalimantan Tengah,Seruyan,Jumlah Pemilih Laki-Laki,4563
Kalimantan Tengah,Sukamara,Jumlah Pemilih Laki-Laki,19077
Kalimantan Timur,Berau,Jumlah Pemilih Laki-Laki,78298
Kalimantan Timur,Kota Balikpapan,Jumlah Pemilih Laki-Laki,20836
Kalimantan Timur,Kota Bontang,Jumlah Pemilih Laki-Laki,56103
Kalimantan Timur,Kota Samarinda,Jumlah Pemilih Laki-Laki,282515
Kalimantan Timur,Kutai Barat,Jumlah Pemilih Laki-Laki,58085
Kalimantan Timur,Kutai Kartanegara,Jumlah Pemilih Laki-Laki,243929
Kalimantan Timur,Kutai Timur,Jumlah Pemilih Laki-Laki,116287
Kalimantan Timur,Mahakam Ulu,Jumlah Pemilih Laki-Laki,11379
Kalimantan Timur,Paser,Jumlah Pemilih Laki-Laki,89745
Kalimantan Timur,Penajam Paser Utara,Jumlah Pemilih Laki-Laki,61615
Kalimantan Utara,Kota Tarakan,Jumlah Pemilih Laki-Laki,68505
Kepulauan Bangka Belitung,Bangka,Jumlah Pemilih Laki-Laki,102551
Kepulauan Bangka Belitung,Belitung,Jumlah Pemilih Laki-Laki,60954
Kepulauan Bangka Belitung,Kota Pangkalpinang,Jumlah Pemilih Laki-Laki,63047
Kepulauan Riau,Kota Tanjungpinang,Jumlah Pemilih Laki-Laki,69828
Lampung,Kota Bandar Lampung,Jumlah Pemilih Laki-Laki,315704
Lampung,Kota Metro,Jumlah Pemilih Laki-Laki,54765
Lampung,Lampung Barat,Jumlah Pemilih Laki-Laki,106478
Lampung,Lampung Selatan,Jumlah Pemilih Laki-Laki,357833
Lampung,Lampung Tengah,Jumlah Pemilih Laki-Laki,459552
Lampung,Lampung Timur,Jumlah Pemilih Laki-Laki,383778
Lampung,Lampung Utara,Jumlah Pemilih Laki-Laki,212658
Lampung,Mesuji,Jumlah Pemilih Laki-Laki,73758
Lampung,Pesawaran,Jumlah Pemilih Laki-Laki,164693
Lampung,Pesisir Barat,Jumlah Pemilih Laki-Laki,54985
Lampung,Pringsewu,Jumlah Pemilih Laki-Laki,148288
Lampung,Tanggamus,Jumlah Pemilih Laki-Laki,225491
Lampung,Tulang Bawang,Jumlah Pemilih Laki-Laki,13101
Lampung,Tulang Bawang Barat,Jumlah Pemilih Laki-Laki,96622
Lampung,Way Kanan,Jumlah Pemilih Laki-Laki,164664
Maluku,Buru,Jumlah Pemilih Laki-Laki,4446
Maluku,Buru Selatan,Jumlah Pemilih Laki-Laki,25878
Maluku,Kepulauan Aru,Jumlah Pemilih Laki-Laki,27822
Maluku,Kota Ambon,Jumlah Pemilih Laki-Laki,99439
Maluku,Kota Tual,Jumlah Pemilih Laki-Laki,19454
Maluku,Maluku Barat Daya,Jumlah Pemilih Laki-Laki,24074
Maluku,Maluku Tengah,Jumlah Pemilih Laki-Laki,141887
Maluku,Maluku Tenggara,Jumlah Pemilih Laki-Laki,34919
Maluku,Maluku Tenggara Barat,Jumlah Pemilih Laki-Laki,30791
Maluku,Seram Bagian Barat,Jumlah Pemilih Laki-Laki,71553
Maluku,Seram Bagian Timur,Jumlah Pemilih Laki-Laki,45994
Maluku Utara,Halmahera Barat,Jumlah Pemilih Laki-Laki,36187
Maluku Utara,Halmahera Selatan,Jumlah Pemilih Laki-Laki,72264
Maluku Utara,Halmahera Tengah,Jumlah Pemilih Laki-Laki,16847
Maluku Utara,Halmahera Timur,Jumlah Pemilih Laki-Laki,28384
Maluku Utara,Halmahera Utara,Jumlah Pemilih Laki-Laki,65553
Maluku Utara,Kepulauan Sula,Jumlah Pemilih Laki-Laki,28333
Maluku Utara,Kota Ternate,Jumlah Pemilih Laki-Laki,55777
Maluku Utara,Kota Tidore Kepulauan,Jumlah Pemilih Laki-Laki,33412
Maluku Utara,Pulau Morotai,Jumlah Pemilih Laki-Laki,22858
Maluku Utara,Pulau Taliabu,Jumlah Pemilih Laki-Laki,1814
Nusa Tenggara Barat,Bima,Jumlah Pemilih Laki-Laki,176072
Nusa Tenggara Barat,Dompu,Jumlah Pemilih Laki-Laki,7706
Nusa Tenggara Barat,Kota Bima,Jumlah Pemilih Laki-Laki,49281
Nusa Tenggara Barat,Kota Mataram,Jumlah Pemilih Laki-Laki,132528
Nusa Tenggara Barat,Lombok Barat,Jumlah Pemilih Laki-Laki,230574
Nusa Tenggara Barat,Lombok Tengah,Jumlah Pemilih Laki-Laki,356512
Nusa Tenggara Barat,Lombok Timur,Jumlah Pemilih Laki-Laki,42636
Nusa Tenggara Barat,Lombok Utara,Jumlah Pemilih Laki-Laki,79328
Nusa Tenggara Barat,Sumbawa,Jumlah Pemilih Laki-Laki,159762
Nusa Tenggara Barat,Sumbawa Barat,Jumlah Pemilih Laki-Laki,42421
Nusa Tenggara Timur,Alor,Jumlah Pemilih Laki-Laki,63779
Nusa Tenggara Timur,Belu,Jumlah Pemilih Laki-Laki,60042
Nusa Tenggara Timur,Ende,Jumlah Pemilih Laki-Laki,75559
Nusa Tenggara Timur,Flores Timur,Jumlah Pemilih Laki-Laki,6996
Nusa Tenggara Timur,Kota Kupang,Jumlah Pemilih Laki-Laki,112112
Nusa Tenggara Timur,Kupang,Jumlah Pemilih Laki-Laki,102586
Nusa Tenggara Timur,Lembata,Jumlah Pemilih Laki-Laki,33825
Nusa Tenggara Timur,Malaka,Jumlah Pemilih Laki-Laki,56911
Nusa Tenggara Timur,Manggarai,Jumlah Pemilih Laki-Laki,95299
Nusa Tenggara Timur,Manggarai Barat,Jumlah Pemilih Laki-Laki,78019
Nusa Tenggara Timur,Manggarai Timur,Jumlah Pemilih Laki-Laki,93388
Nusa Tenggara Timur,Nagekeo,Jumlah Pemilih Laki-Laki,4494
Nusa Tenggara Timur,Ngada,Jumlah Pemilih Laki-Laki,50289
Nusa Tenggara Timur,Rote Ndao,Jumlah Pemilih Laki-Laki,42936
Nusa Tenggara Timur,Sabu Raijua,Jumlah Pemilih Laki-Laki,26503
Nusa Tenggara Timur,Sikka,Jumlah Pemilih Laki-Laki,86477
Nusa Tenggara Timur,Sumba Barat,Jumlah Pemilih Laki-Laki,38521
Nusa Tenggara Timur,Sumba Barat Daya,Jumlah Pemilih Laki-Laki,109765
Nusa Tenggara Timur,Sumba Tengah,Jumlah Pemilih Laki-Laki,24224
Nusa Tenggara Timur,Sumba Timur,Jumlah Pemilih Laki-Laki,78928
Nusa Tenggara Timur,Timor Tengah Selatan,Jumlah Pemilih Laki-Laki,137215
Nusa Tenggara Timur,Timor Tengah Utara,Jumlah Pemilih Laki-Laki,80445
Papua,Asmat,Jumlah Pemilih Laki-Laki,36638
Papua,Biak Numfor,Jumlah Pemilih Laki-Laki,46822
Papua,Boven Digoel,Jumlah Pemilih Laki-Laki,16654
Papua,Deiyai,Jumlah Pemilih Laki-Laki,31549
Papua,Dogiyai,Jumlah Pemilih Laki-Laki,46762
Papua,Intan Jaya,Jumlah Pemilih Laki-Laki,43127
Papua,Jayapura,Jumlah Pemilih Laki-Laki,62197
Papua,Jayawijaya,Jumlah Pemilih Laki-Laki,129967
Papua,Keerom,Jumlah Pemilih Laki-Laki,25381
Papua,Kepulauan Yapen,Jumlah Pemilih Laki-Laki,5038
Papua,Kota Jayapura,Jumlah Pemilih Laki-Laki,157922
Papua,Lanny Jaya,Jumlah Pemilih Laki-Laki,104042
Papua,Mamberamo Raya,Jumlah Pemilih Laki-Laki,14379
Papua,Mamberamo Tengah,Jumlah Pemilih Laki-Laki,1763
Papua,Mappi,Jumlah Pemilih Laki-Laki,36324
Papua,Merauke,Jumlah Pemilih Laki-Laki,68083
Papua,Mimika,Jumlah Pemilih Laki-Laki,129882
Papua,Nabire,Jumlah Pemilih Laki-Laki,94497
Papua,Nduga,Jumlah Pemilih Laki-Laki,50543
Papua,Paniai,Jumlah Pemilih Laki-Laki,53583
Papua,Pegunungan Bintang,Jumlah Pemilih Laki-Laki,53326
Papua,Puncak,Jumlah Pemilih Laki-Laki,81685
Papua,Puncak Jaya,Jumlah Pemilih Laki-Laki,95101
Papua,Sarmi,Jumlah Pemilih Laki-Laki,5627
Papua,Supiori,Jumlah Pemilih Laki-Laki,7458
Papua,Tolikara,Jumlah Pemilih Laki-Laki,123945
Papua,Waropen,Jumlah Pemilih Laki-Laki,17688
Papua,Yahukimo,Jumlah Pemilih Laki-Laki,158489
Papua,Yalimo,Jumlah Pemilih Laki-Laki,4471
Riau,Bengkalis,Jumlah Pemilih Laki-Laki,182864
Riau,Indragiri Hilir,Jumlah Pemilih Laki-Laki,224489
Riau,Indragiri Hulu,Jumlah Pemilih Laki-Laki,136511
Riau,Kampar,Jumlah Pemilih Laki-Laki,224158
Riau,Kepulauan Meranti,Jumlah Pemilih Laki-Laki,69228
Riau,Kota Dumai,Jumlah Pemilih Laki-Laki,8709
Riau,Kota Pekanbaru,Jumlah Pemilih Laki-Laki,232534
Riau,Kuantan Singingi,Jumlah Pemilih Laki-Laki,10701
Riau,Pelalawan,Jumlah Pemilih Laki-Laki,96851
Riau,Rokan Hilir,Jumlah Pemilih Laki-Laki,18883
Riau,Rokan Hulu,Jumlah Pemilih Laki-Laki,154859
Riau,Siak,Jumlah Pemilih Laki-Laki,134589
Sulawesi Barat,Mamasa,Jumlah Pemilih Laki-Laki,57115
Sulawesi Barat,Polewali Mandar,Jumlah Pemilih Laki-Laki,144501
Sulawesi Selatan,Bantaeng,Jumlah Pemilih Laki-Laki,67936
Sulawesi Selatan,Barru,Jumlah Pemilih Laki-Laki,6055
Sulawesi Selatan,Bone,Jumlah Pemilih Laki-Laki,251741
Sulawesi Selatan,Bulukumba,Jumlah Pemilih Laki-Laki,148255
Sulawesi Selatan,Enrekang,Jumlah Pemilih Laki-Laki,75801
Sulawesi Selatan,Gowa,Jumlah Pemilih Laki-Laki,246433
Sulawesi Selatan,Jeneponto,Jumlah Pemilih Laki-Laki,12624
Sulawesi Selatan,Kepulauan Selayar,Jumlah Pemilih Laki-Laki,42395
Sulawesi Selatan,Kota Makassar,Jumlah Pemilih Laki-Laki,483349
Sulawesi Selatan,Kota Palopo,Jumlah Pemilih Laki-Laki,50058
Sulawesi Selatan,Kota Pare Pare,Jumlah Pemilih Laki-Laki,44227
Sulawesi Selatan,Luwu,Jumlah Pemilih Laki-Laki,123082
Sulawesi Selatan,Luwu Timur,Jumlah Pemilih Laki-Laki,94145
Sulawesi Selatan,Luwu Utara,Jumlah Pemilih Laki-Laki,105876
Sulawesi Selatan,Maros,Jumlah Pemilih Laki-Laki,112887
Sulawesi Selatan,Pangkajene Dan Kepulauan,Jumlah Pemilih Laki-Laki,113084
Sulawesi Selatan,Pinrang,Jumlah Pemilih Laki-Laki,124023
Sulawesi Selatan,Sidenreng Rappang,Jumlah Pemilih Laki-Laki,102548
Sulawesi Selatan,Sinjai,Jumlah Pemilih Laki-Laki,84638
Sulawesi Selatan,Soppeng,Jumlah Pemilih Laki-Laki,82074
Sulawesi Selatan,Takalar,Jumlah Pemilih Laki-Laki,95197
Sulawesi Selatan,Tana Toraja,Jumlah Pemilih Laki-Laki,81261
Sulawesi Selatan,Toraja Utara,Jumlah Pemilih Laki-Laki,77297
Sulawesi Selatan,Wajo,Jumlah Pemilih Laki-Laki,127419
Sulawesi Tengah,Donggala,Jumlah Pemilih Laki-Laki,10206
Sulawesi Tengah,Morowali,Jumlah Pemilih Laki-Laki,46062
Sulawesi Tengah,Parigi Moutong,Jumlah Pemilih Laki-Laki,1522
Sulawesi Tenggara,Bombana,Jumlah Pemilih Laki-Laki,47919
Sulawesi Tenggara,Buton,Jumlah Pemilih Laki-Laki,35285
Sulawesi Tenggara,Buton Selatan,Jumlah Pemilih Laki-Laki,27417
Sulawesi Tenggara,Buton Tengah,Jumlah Pemilih Laki-Laki,36544
Sulawesi Tenggara,Buton Utara,Jumlah Pemilih Laki-Laki,21692
Sulawesi Tenggara,Kolaka,Jumlah Pemilih Laki-Laki,75332
Sulawesi Tenggara,Kolaka Timur,Jumlah Pemilih Laki-Laki,40159
Sulawesi Tenggara,Kolaka Utara,Jumlah Pemilih Laki-Laki,44621
Sulawesi Tenggara,Konawe,Jumlah Pemilih Laki-Laki,81144
Sulawesi Tenggara,Konawe Kepulauan,Jumlah Pemilih Laki-Laki,11991
Sulawesi Tenggara,Konawe Selatan,Jumlah Pemilih Laki-Laki,99757
Sulawesi Tenggara,Konawe Utara,Jumlah Pemilih Laki-Laki,20911
Sulawesi Tenggara,Kota Bau Bau,Jumlah Pemilih Laki-Laki,50683
Sulawesi Tenggara,Kota Kendari,Jumlah Pemilih Laki-Laki,88724
Sulawesi Tenggara,Muna,Jumlah Pemilih Laki-Laki,66755
Sulawesi Tenggara,Muna Barat,Jumlah Pemilih Laki-Laki,25796
Sulawesi Tenggara,Wakatobi,Jumlah Pemilih Laki-Laki,38266
Sulawesi Utara,Bolaang Mongondow Utara,Jumlah Pemilih Laki-Laki,2759
Sulawesi Utara,Kep. Siau Tagulandang Biaro,Jumlah Pemilih Laki-Laki,26354
Sulawesi Utara,Kepulauan Talaud,Jumlah Pemilih Laki-Laki,33829
Sulawesi Utara,Kota Kotamobagu,Jumlah Pemilih Laki-Laki,43177
Sulawesi Utara,Minahasa,Jumlah Pemilih Laki-Laki,126714
Sulawesi Utara,Minahasa Tenggara,Jumlah Pemilih Laki-Laki,41497
Sumatera Barat,Kota Padang,Jumlah Pemilih Laki-Laki,261797
Sumatera Barat,Kota Padang Panjang,Jumlah Pemilih Laki-Laki,17621
Sumatera Barat,Kota Pariaman,Jumlah Pemilih Laki-Laki,29041
Sumatera Barat,Kota Sawahlunto,Jumlah Pemilih Laki-Laki,21984
Sumatera Selatan,Banyuasin,Jumlah Pemilih Laki-Laki,290478
Sumatera Selatan,Empat Lawang,Jumlah Pemilih Laki-Laki,9952
Sumatera Selatan,Kota Lubuklinggau,Jumlah Pemilih Laki-Laki,76628
Sumatera Selatan,Kota Pagar Alam,Jumlah Pemilih Laki-Laki,51959
Sumatera Selatan,Kota Palembang,Jumlah Pemilih Laki-Laki,550218
Sumatera Selatan,Kota Prabumulih,Jumlah Pemilih Laki-Laki,62539
Sumatera Selatan,Lahat,Jumlah Pemilih Laki-Laki,148024
Sumatera Selatan,Muara Enim,Jumlah Pemilih Laki-Laki,203653
Sumatera Selatan,Musi Banyuasin,Jumlah Pemilih Laki-Laki,220559
Sumatera Selatan,Musi Rawas,Jumlah Pemilih Laki-Laki,141689
Sumatera Selatan,Musi Rawas Utara,Jumlah Pemilih Laki-Laki,71764
Sumatera Selatan,Ogan Ilir,Jumlah Pemilih Laki-Laki,141155
Sumatera Selatan,Ogan Komering Ilir,Jumlah Pemilih Laki-Laki,245042
Sumatera Selatan,Ogan Komering Ulu,Jumlah Pemilih Laki-Laki,125565
Sumatera Selatan,Ogan Komering Ulu Selatan,Jumlah Pemilih Laki-Laki,131873
Sumatera Selatan,Ogan Komering Ulu Timur,Jumlah Pemilih Laki-Laki,232171
Sumatera Selatan,Penukal Abab Lematang Ilir,Jumlah Pemilih Laki-Laki,60296
Sumatera Utara,Asahan,Jumlah Pemilih Laki-Laki,244503
Sumatera Utara,Batu Bara,Jumlah Pemilih Laki-Laki,140904
Sumatera Utara,Dairi,Jumlah Pemilih Laki-Laki,86016
Sumatera Utara,Deli Serdang,Jumlah Pemilih Laki-Laki,579625
Sumatera Utara,Humbang Hasundutan,Jumlah Pemilih Laki-Laki,61074
Sumatera Utara,Karo,Jumlah Pemilih Laki-Laki,128408
Sumatera Utara,Kota Binjai,Jumlah Pemilih Laki-Laki,83176
Sumatera Utara,Kota Gunungsitoli,Jumlah Pemilih Laki-Laki,40477
Sumatera Utara,Kota Medan,Jumlah Pemilih Laki-Laki,746418
Sumatera Utara,Kota Padang Sidimpuan,Jumlah Pemilih Laki-Laki,67069
Sumatera Utara,Kota Pematangsiantar,Jumlah Pemilih Laki-Laki,78466
Sumatera Utara,Kota Sibolga,Jumlah Pemilih Laki-Laki,30268
Sumatera Utara,Kota Tanjung Balai,Jumlah Pemilih Laki-Laki,51509
Sumatera Utara,Kota Tebing Tinggi,Jumlah Pemilih Laki-Laki,49762
Sumatera Utara,Labuhanbatu,Jumlah Pemilih Laki-Laki,135969
Sumatera Utara,Labuhanbatu Selatan,Jumlah Pemilih Laki-Laki,89642
Sumatera Utara,Labuhanbatu Utara,Jumlah Pemilih Laki-Laki,108513
Sumatera Utara,Langkat,Jumlah Pemilih Laki-Laki,348132
Sumatera Utara,Mandailing Natal,Jumlah Pemilih Laki-Laki,134808
Sumatera Utara,Nias,Jumlah Pemilih Laki-Laki,42521
Sumatera Utara,Nias Barat,Jumlah Pemilih Laki-Laki,27018
Sumatera Utara,Nias Selatan,Jumlah Pemilih Laki-Laki,89361
Sumatera Utara,Nias Utara,Jumlah Pemilih Laki-Laki,42782
Sumatera Utara,Padang Lawas,Jumlah Pemilih Laki-Laki,77897
Sumatera Utara,Padang Lawas Utara,Jumlah Pemilih Laki-Laki,72436
Sumatera Utara,Pakpak Bharat,Jumlah Pemilih Laki-Laki,15803
Sumatera Utara,Samosir,Jumlah Pemilih Laki-Laki,44301
Sumatera Utara,Serdang Bedagai,Jumlah Pemilih Laki-Laki,214483
Sumatera Utara,Simalungun,Jumlah Pemilih Laki-Laki,30167
Sumatera Utara,Tapanuli Selatan,Jumlah Pemilih Laki-Laki,98355
Sumatera Utara,Tapanuli Tengah,Jumlah Pemilih Laki-Laki,98272
Sumatera Utara,Tapanuli Utara,Jumlah Pemilih Laki-Laki,96522
Sumatera Utara,Toba Samosir,Jumlah Pemilih Laki-Laki,57823
Aceh,Aceh Selatan,Jumlah Pemilih Perempuan,77553
Aceh,Kota Subulussalam,Jumlah Pemilih Perempuan,25046
Aceh,Pidie Jaya,Jumlah Pemilih Perempuan,55412
Bali,Badung,Jumlah Pemilih Perempuan,18117
Bali,Bangli,Jumlah Pemilih Perempuan,91506
Bali,Buleleng,Jumlah Pemilih Perempuan,275706
Bali,Gianyar,Jumlah Pemilih Perempuan,182276
Bali,Jembrana,Jumlah Pemilih Perempuan,113817
Bali,Karangasem,Jumlah Pemilih Perempuan,186496
Bali,Klungkung,Jumlah Pemilih Perempuan,79106
Bali,Kota Denpasar,Jumlah Pemilih Perempuan,202571
Bali,Tabanan,Jumlah Pemilih Perempuan,181731
Banten,Kota Serang,Jumlah Pemilih Perempuan,208534
Banten,Kota Tangerang,Jumlah Pemilih Perempuan,513376
Banten,Lebak,Jumlah Pemilih Perempuan,453282
Banten,Tangerang,Jumlah Pemilih Perempuan,911512
Bengkulu,Kota Bengkulu,Jumlah Pemilih Perempuan,116302
Gorontalo,Gorontalo Utara,Jumlah Pemilih Perempuan,40784
Gorontalo,Kota Gorontalo,Jumlah Pemilih Perempuan,6581
Jambi,Kerinci,Jumlah Pemilih Perempuan,104203
Jambi,Kota Jambi,Jumlah Pemilih Perempuan,194639
Jambi,Merangin,Jumlah Pemilih Perempuan,12137
Jawa Barat,Bandung,Jumlah Pemilih Perempuan,1151421
Jawa Barat,Bandung Barat,Jumlah Pemilih Perempuan,574109
Jawa Barat,Bekasi,Jumlah Pemilih Perempuan,923085
Jawa Barat,Bogor,Jumlah Pemilih Perempuan,1606550
Jawa Barat,Ciamis,Jumlah Pemilih Perempuan,462843
Jawa Barat,Cianjur,Jumlah Pemilih Perempuan,813407
Jawa Barat,Cirebon,Jumlah Pemilih Perempuan,813021
Jawa Barat,Garut,Jumlah Pemilih Perempuan,88573
Jawa Barat,Indramayu,Jumlah Pemilih Perempuan,664113
Jawa Barat,Karawang,Jumlah Pemilih Perempuan,796166
Jawa Barat,Kota Bandung,Jumlah Pemilih Perempuan,832624
Jawa Barat,Kota Banjar,Jumlah Pemilih Perempuan,72746
Jawa Barat,Kota Bekasi,Jumlah Pemilih Perempuan,720869
Jawa Barat,Kota Bogor,Jumlah Pemilih Perempuan,336238
Jawa Barat,Kota Cimahi,Jumlah Pemilih Perempuan,184192
Jawa Barat,Kota Cirebon,Jumlah Pemilih Perempuan,116603
Jawa Barat,Kota Depok,Jumlah Pemilih Perempuan,58193
Jawa Barat,Kota Sukabumi,Jumlah Pemilih Perempuan,113492
Jawa Barat,Kota Tasikmalaya,Jumlah Pemilih Perempuan,234884
Jawa Barat,Kuningan,Jumlah Pemilih Perempuan,415408
Jawa Barat,Majalengka,Jumlah Pemilih Perempuan,479697
Jawa Barat,Pangandaran,Jumlah Pemilih Perempuan,157125
Jawa Barat,Purwakarta,Jumlah Pemilih Perempuan,324998
Jawa Barat,Subang,Jumlah Pemilih Perempuan,562946
Jawa Barat,Sukabumi,Jumlah Pemilih Perempuan,89345
Jawa Barat,Sumedang,Jumlah Pemilih Perempuan,418525
Jawa Barat,Tasikmalaya,Jumlah Pemilih Perempuan,648374
Jawa Tengah,Banjarnegara,Jumlah Pemilih Perempuan,380746
Jawa Tengah,Banyumas,Jumlah Pemilih Perempuan,653284
Jawa Tengah,Batang,Jumlah Pemilih Perempuan,294714
Jawa Tengah,Blora,Jumlah Pemilih Perempuan,349439
Jawa Tengah,Boyolali,Jumlah Pemilih Perempuan,391024
Jawa Tengah,Brebes,Jumlah Pemilih Perempuan,722162
Jawa Tengah,Cilacap,Jumlah Pemilih Perempuan,721171
Jawa Tengah,Demak,Jumlah Pemilih Perempuan,423431
Jawa Tengah,Grobogan,Jumlah Pemilih Perempuan,547009
Jawa Tengah,Jepara,Jumlah Pemilih Perempuan,42372
Jawa Tengah,Karanganyar,Jumlah Pemilih Perempuan,344751
Jawa Tengah,Kebumen,Jumlah Pemilih Perempuan,520393
Jawa Tengah,Kendal,Jumlah Pemilih Perempuan,380434
Jawa Tengah,Klaten,Jumlah Pemilih Perempuan,496381
Jawa Tengah,Kota Magelang,Jumlah Pemilih Perempuan,46318
Jawa Tengah,Kota Pekalongan,Jumlah Pemilih Perempuan,108136
Jawa Tengah,Kota Salatiga,Jumlah Pemilih Perempuan,67352
Jawa Tengah,Kota Semarang,Jumlah Pemilih Perempuan,573622
Jawa Tengah,Kota Surakarta,Jumlah Pemilih Perempuan,205946
Jawa Tengah,Kota Tegal,Jumlah Pemilih Perempuan,99669
Jawa Tengah,Kudus,Jumlah Pemilih Perempuan,3102
Jawa Tengah,Magelang,Jumlah Pemilih Perempuan,4846
Jawa Tengah,Pati,Jumlah Pemilih Perempuan,515178
Jawa Tengah,Pekalongan,Jumlah Pemilih Perempuan,354975
Jawa Tengah,Pemalang,Jumlah Pemilih Perempuan,533369
Jawa Tengah,Purbalingga,Jumlah Pemilih Perempuan,365934
Jawa Tengah,Purworejo,Jumlah Pemilih Perempuan,304901
Jawa Tengah,Rembang,Jumlah Pemilih Perempuan,23905
Jawa Tengah,Semarang,Jumlah Pemilih Perempuan,383458
Jawa Tengah,Sragen,Jumlah Pemilih Perempuan,386223
Jawa Tengah,Sukoharjo,Jumlah Pemilih Perempuan,329349
Jawa Tengah,Tegal,Jumlah Pemilih Perempuan,578872
Jawa Tengah,Temanggung,Jumlah Pemilih Perempuan,29875
Jawa Tengah,Wonogiri,Jumlah Pemilih Perempuan,431587
Jawa Tengah,Wonosobo,Jumlah Pemilih Perempuan,323345
Jawa Timur,Bangkalan,Jumlah Pemilih Perempuan,442984
Jawa Timur,Banyuwangi,Jumlah Pemilih Perempuan,634264
Jawa Timur,Blitar,Jumlah Pemilih Perempuan,469645
Jawa Timur,Bojonegoro,Jumlah Pemilih Perempuan,516732
Jawa Timur,Bondowoso,Jumlah Pemilih Perempuan,300561
Jawa Timur,Gresik,Jumlah Pemilih Perempuan,452448
Jawa Timur,Jember,Jumlah Pemilih Perempuan,916907
Jawa Timur,Jombang,Jumlah Pemilih Perempuan,48961
Jawa Timur,Kediri,Jumlah Pemilih Perempuan,591805
Jawa Timur,Kota Batu,Jumlah Pemilih Perempuan,74688
Jawa Timur,Kota Blitar,Jumlah Pemilih Perempuan,56376
