Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara
41,2018,Kota Bogor,4,Walikota,"H. Dadang Iskandar Danubrata, S.E",61.444,12.98%
41,2018,Kota Bogor,4,Wakil Walikota,"Sugeng Teguh Santoso, S.H",61.444,12.98%
42,2018,Kota Cirebon,1,Walikota,"Bamunas Setiawan Boediman, Mba",78.587,49.42%
42,2018,Kota Cirebon,1,Wakil Walikota,"Effendi Edo, Sap., M.Si",78.587,49.42%
42,2018,Kota Cirebon,2,Walikota,"Drs. Nashrudin Azis, Sh",80.422,50.58%
42,2018,Kota Cirebon,2,Wakil Walikota,Dra. Hj. Eti Herawati,80.422,50.58%
43,2018,Kota Sukabumi,1,Walikota,"Jona Arizona, S.Ip., Mm.",38.217,23.26%
43,2018,Kota Sukabumi,1,Wakil Walikota,"Dr. H. Muhamad Noor Hanafie Zain, M.Si.",38.217,23.26%
43,2018,Kota Sukabumi,2,Walikota,H. Achmad Fahmi,84.032,51.14%
43,2018,Kota Sukabumi,2,Wakil Walikota,H. Andri Setiawan Hamami,84.032,51.14%
43,2018,Kota Sukabumi,3,Walikota,"Dr. H. Mulyono, Mm.",29.22,17.78%
43,2018,Kota Sukabumi,3,Wakil Walikota,Hj. Ima Slamet,29.22,17.78%
43,2018,Kota Sukabumi,4,Walikota,"Dedi Rantjani Widjaja, Se., Mm.",12.856,7.82%
43,2018,Kota Sukabumi,4,Wakil Walikota,"Hikmat Nuristawan, Se., Mm.",12.856,7.82%
44,2018,Kabupaten Kuningan,1,Bupati,Dr. Toto Taufikurohman Kosim,196.002,32.58%
44,2018,Kabupaten Kuningan,1,Wakil Bupati,"H. Yosa Octora Santono, S.Si,. M.M.",196.002,32.58%
44,2018,Kabupaten Kuningan,2,Bupati,"H. Dudy Pamuji, S.E, M.Si",166.545,27.69%
44,2018,Kabupaten Kuningan,2,Wakil Bupati,"H. Udin Kusnedi, S.E., M.Si.",166.545,27.69%
44,2018,Kabupaten Kuningan,3,Bupati,"H. Acep Purnama, S.H., M.H.",239.02,39.73%
44,2018,Kabupaten Kuningan,3,Wakil Bupati,"Muhammad Ridho Suganda, S.H., M.Si.",239.02,39.73%
45,2018,Kabupaten Majalengka,1,Bupati,Maman Imanul Haq,133.433,19.87%
45,2018,Kabupaten Majalengka,1,Wakil Bupati,Jefry Romdonny,133.433,19.87%
45,2018,Kabupaten Majalengka,2,Bupati,"Dr. H. Karna Sobahi, M.M.Pd.",309.633,46.10%
45,2018,Kabupaten Majalengka,2,Wakil Bupati,Tarsono D. Mardiana,309.633,46.10%
45,2018,Kabupaten Majalengka,3,Bupati,"Dr. H. Sanwasi, Mm.",228.535,34.03%
45,2018,Kabupaten Majalengka,3,Wakil Bupati,Drs. H.M. Taufan Ansyar,228.535,34.03%
46,2018,Kabupaten Purwakarta,1,Bupati,"Drs. H. Padil Karsoma, M.Si",87.961,17.71%
46,2018,Kabupaten Purwakarta,1,Wakil Bupati,Acep Maman,87.961,17.71%
46,2018,Kabupaten Purwakarta,2,Bupati,Hj. Anne Ratna Mustika,217.488,43.79%
46,2018,Kabupaten Purwakarta,2,Wakil Bupati,H. Aming,217.488,43.79%
46,2018,Kabupaten Purwakarta,3,Bupati,"H. Zainal Arifin, Mt. Ir",191.252,38.50%
46,2018,Kabupaten Purwakarta,3,Wakil Bupati,"Luthfi, A. Md",191.252,38.50%
47,2018,Kabupaten Subang,1,Bupati,H. Ruhimat,307.157,39.95%
47,2018,Kabupaten Subang,1,Wakil Bupati,"Ir. Agus Masykur Rosyadi, S.Si",307.157,39.95%
47,2018,Kabupaten Subang,2,Bupati,"Hj. Imas Aryumningsih, Se",228.751,29.76%
47,2018,Kabupaten Subang,2,Wakil Bupati,Sutarno,228.751,29.76%
47,2018,Kabupaten Subang,3,Bupati,"Drs. Dedi Junaedi, Sh",232.858,30.29%
47,2018,Kabupaten Subang,3,Wakil Bupati,"Dr. Drs. H. Budi Setiadi, M.Si",232.858,30.29%
48,2018,Kabupaten Sumedang,1,Bupati,"H. Dony Ahmad Munir, S.T., M.M.",275.323,42.83%
48,2018,Kabupaten Sumedang,1,Wakil Bupati,"Erwan Setiawan, S.E.",275.323,42.83%
48,2018,Kabupaten Sumedang,2,Bupati,"H. Setya Widodo, S.H.",68.949,10.73%
48,2018,Kabupaten Sumedang,2,Wakil Bupati,"Sonia Sugian, S.H.",68.949,10.73%
48,2018,Kabupaten Sumedang,3,Bupati,"Drs. H. Zaenal Alimin, M.M.",120.163,18.69%
48,2018,Kabupaten Sumedang,3,Wakil Bupati,"Asep Kurnia, S.H., M.H.",120.163,18.69%
48,2018,Kabupaten Sumedang,4,Bupati,Irwansyah Putra,102.67,15.97%
48,2018,Kabupaten Sumedang,4,Wakil Bupati,"Sidik Jafar, S.E.",102.67,15.97%
48,2018,Kabupaten Sumedang,5,Bupati,"Ir. H. Eka Setiawan, Dipl., S.E., M.M.",75.667,11.77%
48,2018,Kabupaten Sumedang,5,Wakil Bupati,"Mohamad Agung Anugrah, S.E., Ak.",75.667,11.77%
49,2018,Kabupaten Banyumas,1,Bupati,"Drs. H. Mardjoko, Mm",409.408,44.32%
49,2018,Kabupaten Banyumas,1,Wakil Bupati,"Dr. Ir. H. Ifan Haryanto, M.Sc",409.408,44.32%
49,2018,Kabupaten Banyumas,2,Bupati,Ir. H. Achmad Husein,514.412,55.68%
49,2018,Kabupaten Banyumas,2,Wakil Bupati,Drs. H. Sadewo Tri Lastiono,514.412,55.68%
50,2018,Kabupaten Karanganyar,1,Bupati,"H. Rohadi Widodo, Sp.",231.356,43.80%
50,2018,Kabupaten Karanganyar,1,Wakil Bupati,"Ida Retno Wahyuningsih, Se",231.356,43.80%
50,2018,Kabupaten Karanganyar,2,Bupati,"Drs. H. Juliyatmono, Mm.",296.873,56.20%
50,2018,Kabupaten Karanganyar,2,Wakil Bupati,"H. Rober Christanto, Se",296.873,56.20%
51,2018,Kota Tegal,1,Walikota,H.M. Nursholeh,21.029,15.48%
51,2018,Kota Tegal,1,Wakil Walikota,H. Wartono,21.029,15.48%
51,2018,Kota Tegal,2,Walikota,H. A. Ghautsun,17.189,12.65%
51,2018,Kota Tegal,2,Wakil Walikota,Dr. H. Muslih Dahlan,17.189,12.65%
51,2018,Kota Tegal,3,Walikota,"H. Dedy Yon Supriyono, S.E., M.M.",38.041,28.01%
51,2018,Kota Tegal,3,Wakil Walikota,"Muhamad Jumadi, S.T., M.M.",38.041,28.01%
51,2018,Kota Tegal,4,Walikota,"K. H. Habib Ali Zaenal Abidin, S.E., M.H.",37.77,27.81%
51,2018,Kota Tegal,4,Wakil Walikota,"Hj. Tanty Prasetyo Ningrum, S.H., M.M.",37.77,27.81%
51,2018,Kota Tegal,5,Walikota,"Herujito, S.I.P.",21.802,16.05%
51,2018,Kota Tegal,5,Wakil Walikota,Sugono,21.802,16.05%
52,2018,Kabupaten Kudus,1,Bupati,"Masan, Se, Mm",194.205,38.52%
52,2018,Kabupaten Kudus,1,Wakil Bupati,"Drs. H. Noor Yasin, Mm",194.205,38.52%
52,2018,Kabupaten Kudus,2,Bupati,"H. Nor Hartoyo, Sh",7.389,1.47%
52,2018,Kabupaten Kudus,2,Wakil Bupati,"Junaidi, Sh",7.389,1.47%
52,2018,Kabupaten Kudus,3,Bupati,"Hj. Sri Hartini, St",76.904,15.25%
52,2018,Kabupaten Kudus,3,Wakil Bupati,"H. Setia Budi Wibowo, S.Ag, Mm",76.904,15.25%
52,2018,Kabupaten Kudus,4,Bupati,"H. Akhwan, Sh",11.315,2.24%
52,2018,Kabupaten Kudus,4,Wakil Bupati,"H. Hadi Sucipto, S.Pd, Mm",11.315,2.24%
52,2018,Kabupaten Kudus,5,Bupati,"Ir. H. Muhammad Tamzil, Mt",214.313,42.51%
52,2018,Kabupaten Kudus,5,Wakil Bupati,"Hm. Hartopo, St, Mm, Mh",214.313,42.51%
53,2018,Kabupaten Magelang,1,Bupati,"Zaenal Arifin, S.Ip",392.996,55.60%
53,2018,Kabupaten Magelang,1,Wakil Bupati,"Edi Cahyana, Se",392.996,55.60%
53,2018,Kabupaten Magelang,2,Bupati,"H.M. Zaenal Arifin, Sh",313.817,44.40%
53,2018,Kabupaten Magelang,2,Wakil Bupati,"H. Rohadi Pratoto, Sh, M.Si",313.817,44.40%
54,2018,Kabupaten Tegal,1,Bupati,H. Rusbandi,64.15,8.78%
54,2018,Kabupaten Tegal,1,Wakil Bupati,"H. Fatchuddin, Se",64.15,8.78%
54,2018,Kabupaten Tegal,2,Bupati,"Drs. H. Haron Bagas Prakosa, M.Hum",148.037,20.26%
54,2018,Kabupaten Tegal,2,Wakil Bupati,"H. Drajat Adi Prayitno, S.Kom, Mm",148.037,20.26%
54,2018,Kabupaten Tegal,3,Bupati,Dra. Hj. Umi Azizah,518.327,70.95%
54,2018,Kabupaten Tegal,3,Wakil Bupati,"Sabilillah Ardie, B.Sc",518.327,70.95%
55,2018,Kabupaten Temanggung,1,Bupati,Drs. H M Bambang Sukarno,156.964,32.97%
55,2018,Kabupaten Temanggung,1,Wakil Bupati,Matoha,156.964,32.97%
55,2018,Kabupaten Temanggung,2,Bupati,Haryo Dewandono,60.894,12.79%
55,2018,Kabupaten Temanggung,2,Wakil Bupati,Irawan Prasetyadi,60.894,12.79%
55,2018,Kabupaten Temanggung,3,Bupati,H.M. Al Khadziq,258.243,54.24%
55,2018,Kabupaten Temanggung,3,Wakil Bupati,Drs.R.Heri Ibnu Wibowo,258.243,54.24%
56,2018,Kabupaten Bangkalan,1,Bupati,"Dr. H. Moch. Farid Al Fauzi, St, Mm",184.358,33.85%
56,2018,Kabupaten Bangkalan,1,Wakil Bupati,"Drs. Ec. Sudarmawan, Mm",184.358,33.85%
56,2018,Kabupaten Bangkalan,2,Bupati,"H. Imam Buchori, Sh",116.4,21.37%
56,2018,Kabupaten Bangkalan,2,Wakil Bupati,Ir. H. Mondir A. Rofii,116.4,21.37%
56,2018,Kabupaten Bangkalan,3,Bupati,R. Abdul Latif Amin Imron,243.939,44.78%
56,2018,Kabupaten Bangkalan,3,Wakil Bupati,"Drs. Mohni, Mm",243.939,44.78%
57,2018,Kabupaten Bojonegoro,1,Bupati,"Drs. H. Soehadi Moeljono, Mm.",187.487,25.49%
57,2018,Kabupaten Bojonegoro,1,Wakil Bupati,"Hj. Mitro'Atin, S.Pd.",187.487,25.49%
57,2018,Kabupaten Bojonegoro,2,Bupati,"Dra. Mahfudhoh, M.Si.",142.948,19.44%
57,2018,Kabupaten Bojonegoro,2,Wakil Bupati,"Drs. H. Kuswiyanto, M.Si.",142.948,19.44%
57,2018,Kabupaten Bojonegoro,3,Bupati,Dr. Hj. Anna Mu'Awanah,224.756,30.56%
57,2018,Kabupaten Bojonegoro,3,Wakil Bupati,"Drs. H. Budi Irawanto, M.Pd.",224.756,30.56%
57,2018,Kabupaten Bojonegoro,4,Bupati,"Drs. H. Basuki, M.Pd., M.Pd.I.",180.287,24.51%
57,2018,Kabupaten Bojonegoro,4,Wakil Bupati,"Pudji Dewanto, Sh., Mm.",180.287,24.51%
58,2018,Kabupaten Bondowoso,1,Bupati,Drs. Kh. Salwa Arifin,227.521,52.04%
58,2018,Kabupaten Bondowoso,1,Wakil Bupati,"H. Irwan Bachtiar Rachmat,Se.M.Si",227.521,52.04%
58,2018,Kabupaten Bondowoso,2,Bupati,H. Ahmad Dhafir,209.65,47.96%
58,2018,Kabupaten Bondowoso,2,Wakil Bupati,Drs. Hidayat.M.Si,209.65,47.96%
59,2018,Kabupaten Jombang,1,Bupati,Hj. Mundjidah Wahab,308.609,48.29%
59,2018,Kabupaten Jombang,1,Wakil Bupati,Sumrambah,308.609,48.29%
59,2018,Kabupaten Jombang,2,Bupati,Drs. Ec. H. Nyono Suharli Wihandoko,219.517,34.35%
59,2018,Kabupaten Jombang,2,Wakil Bupati,"Drs. M. Subaidi, M.Si.",219.517,34.35%
59,2018,Kabupaten Jombang,3,Bupati,"Dr.Syafiin, Sh, Mm, Mh",110.93,17.36%
59,2018,Kabupaten Jombang,3,Wakil Bupati,"H. Choirul Anam, St",110.93,17.36%
60,2018,Kota Kediri,1,Walikota,Aizzudin,29.848,20.15%
60,2018,Kota Kediri,1,Wakil Walikota,Sudjono Teguh Widjaja,29.848,20.15%
60,2018,Kota Kediri,2,Walikota,Abdullah Abu Bakar,85.514,57.74%
60,2018,Kota Kediri,2,Wakil Walikota,Lilik Muhibbah,85.514,57.74%
60,2018,Kota Kediri,3,Walikota,"Dr. Samsul Ashar, Sp.Pd",32.752,22.11%
60,2018,Kota Kediri,3,Wakil Walikota,"Teguh Juniadi, Se",32.752,22.11%
61,2018,Kota Madiun,1,Walikota,"Drs. H. Maidi, Sh, Mm, M.Pd",39.465,38.53%
61,2018,Kota Madiun,1,Wakil Walikota,"Inda Raya Ayu Miko Saputri, S.E., Mib",39.465,38.53%
61,2018,Kota Madiun,2,Walikota,Dr. Harryadin Mahardika,35.353,34.52%
61,2018,Kota Madiun,2,Wakil Walikota,"Arief Rahman, S.T., M.M.",35.353,34.52%
61,2018,Kota Madiun,3,Walikota,"Yusuf Rohana, St",27.608,26.95%
61,2018,Kota Madiun,3,Wakil Walikota,"Bambang Wahyudi, St",27.608,26.95%
62,2018,Kota Malang,1,Walikota,"Ya'Qud Ananda Gudban, Ss, Mm.",70.006,18.89%
62,2018,Kota Malang,1,Wakil Walikota,H. Wanedi,70.006,18.89%
62,2018,Kota Malang,2,Walikota,H. Anton,135.652,36.60%
62,2018,Kota Malang,2,Wakil Walikota,"H. Syamsul Mahmud, Se",135.652,36.60%
62,2018,Kota Malang,3,Walikota,Sutiaji,164.995,44.51%
62,2018,Kota Malang,3,Wakil Walikota,Sofyan Edi Jarwoko,164.995,44.51%
63,2018,Kota Mojokerto,1,Walikota,"Dr. H. Akmal Boedianto, Sh, M.Si",19.853,27.63%
63,2018,Kota Mojokerto,1,Wakil Walikota,Rambo Garudo,19.853,27.63%
63,2018,Kota Mojokerto,2,Walikota,Andy Soebjakto Molanggato,19.378,26.97%
63,2018,Kota Mojokerto,2,Wakil Walikota,"Ade Ria Suryani, Sh., Mh",19.378,26.97%
63,2018,Kota Mojokerto,3,Walikota,Warsito,9.013,12.55%
63,2018,Kota Mojokerto,3,Wakil Walikota,Moeljadi,9.013,12.55%
63,2018,Kota Mojokerto,4,Walikota,"Hj. Ika Puspitasari, Se",23.6,32.85%
63,2018,Kota Mojokerto,4,Wakil Walikota,Achmad Rizal Zakaria,23.6,32.85%
64,2018,Kota Probolinggo,1,Walikota,Suwito,3.342,2.66%
64,2018,Kota Probolinggo,1,Wakil Walikota,Ferry Rahyuwono,3.342,2.66%
64,2018,Kota Probolinggo,2,Walikota,"H. Fernanda Zulkarnain, Bsee.Mscs.",46.777,37.28%
64,2018,Kota Probolinggo,2,Wakil Walikota,Ir. H. Zulfikar Imawan,46.777,37.28%
64,2018,Kota Probolinggo,3,Walikota,Syamsu Alam,15.022,11.97%
64,2018,Kota Probolinggo,3,Wakil Walikota,"Kulup Widyono, Se",15.022,11.97%
64,2018,Kota Probolinggo,4,Walikota,"Habib Hadi Zainal Abidin, S.Pd., Mm., M.Hp.",60.35,48.09%
64,2018,Kota Probolinggo,4,Wakil Walikota,Moch. Soufis Subri,60.35,48.09%
65,2018,Kabupaten Lumajang,1,Bupati,"H. Thoriqul Haq, Mml",246.954,42.53%
65,2018,Kabupaten Lumajang,1,Wakil Bupati,"Ir. Hj.  Indah Amperawati, M.Si",246.954,42.53%
65,2018,Kabupaten Lumajang,2,Bupati,"Drs. H. As�T, M.Ag",201.305,34.67%
65,2018,Kabupaten Lumajang,2,Wakil Bupati,H. Thoriq,201.305,34.67%
65,2018,Kabupaten Lumajang,3,Bupati,"H. Rofik, Sh., Mh",132.431,22.81%
65,2018,Kabupaten Lumajang,3,Wakil Bupati,Ir. Nurul Huda,132.431,22.81%
66,2018,Kabupaten Madiun,1,Bupati,"H.Ahmad Dawami Ragil Saputro,S.Sos",162.012,40.17%
66,2018,Kabupaten Madiun,1,Wakil Bupati,"H.Hari Wuryanto,Sh,M.Ak",162.012,40.17%
66,2018,Kabupaten Madiun,2,Bupati,"Rio Wing Dinaryhadi,St",90.67,22.48%
66,2018,Kabupaten Madiun,2,Wakil Bupati,Ir.Sukiman.M.Si,90.67,22.48%
66,2018,Kabupaten Madiun,3,Bupati,Drs.Djoko Setijono,150.668,37.35%
66,2018,Kabupaten Madiun,3,Wakil Bupati,"Suprapto,Se",150.668,37.35%
67,2018,Kabupaten Magetan,1,Bupati,Suyatni Priasmoro,115.395,30.09%
67,2018,Kabupaten Magetan,1,Wakil Bupati,Nur Wahid,115.395,30.09%
67,2018,Kabupaten Magetan,2,Bupati,"Ir. H. Sh. Miratul Mukminin, Mm",103.176,26.90%
67,2018,Kabupaten Magetan,2,Wakil Bupati,"Joko Suyono, S.Sos",103.176,26.90%
67,2018,Kabupaten Magetan,3,Bupati,"Dr. Drs. Suprawoto, Sh, M.Si",164.932,43.01%
67,2018,Kabupaten Magetan,3,Wakil Bupati,"Hj. Nanik Endang Rusminiarti, M.Pd",164.932,43.01%
68,2018,Kabupaten Nganjuk,1,Bupati,"H. Novi Rahman Hidhayat, S.Sos., Mm.",303.175,54.71%
68,2018,Kabupaten Nganjuk,1,Wakil Bupati,"Dr. Drs. H. Marhaen Djumadi, Se, Sh, Mm, Mba",303.175,54.71%
68,2018,Kabupaten Nganjuk,2,Bupati,"Ir. Siti Nurhayati, Mm.",194.338,35.07%
68,2018,Kabupaten Nganjuk,2,Wakil Bupati,"Bimantoro Wiyono, Sh",194.338,35.07%
68,2018,Kabupaten Nganjuk,3,Bupati,"Desy Natalia Widya, Sip",56.593,10.21%
68,2018,Kabupaten Nganjuk,3,Wakil Bupati,"Drs. Ainul Yakin, M.Si",56.593,10.21%
69,2018,Kabupaten Pamekasan,1,Bupati,"H. Badrut Tamam, S.Psi",259.444,53.34%
69,2018,Kabupaten Pamekasan,1,Wakil Bupati,"Raja'E, S.Hi",259.444,53.34%
69,2018,Kabupaten Pamekasan,2,Bupati,"Dr. Kh. Kholilurrahman, Sh.,M.Si",226.935,46.66%
69,2018,Kabupaten Pamekasan,2,Wakil Bupati,"Fathor Rohman, M.Si",226.935,46.66%
70,2018,Kabupaten Pasuruan,1,Bupati,Mohammad Irsyad Yusuf,535.453,77.44%
70,2018,Kabupaten Pasuruan,1,Wakil Bupati,"K.H. A. Mujib Imron, Sh., Mh",535.453,77.44%
71,2018,Kabupaten Probolinggo,1,Bupati,Hj. Puput Tantriana Sari,345.797,57.66%
71,2018,Kabupaten Probolinggo,1,Wakil Bupati,Drs. H. A. Timbul Prihanjoko,345.797,57.66%
71,2018,Kabupaten Probolinggo,2,Bupati,"H. Abdul Malik Haramain, M.Si",253.918,42.34%
71,2018,Kabupaten Probolinggo,2,Wakil Bupati,"H. Mohammad Muzayyan, M.H.I",253.918,42.34%
72,2018,Kabupaten Sampang,1,Bupati,H. Slamet Junaidi,252.078,38.22%
72,2018,Kabupaten Sampang,1,Wakil Bupati,H. Abdullah Hidayat,252.078,38.22%
72,2018,Kabupaten Sampang,2,Bupati,"Drh.H. Hermanto Subaidi, M.Si",244.348,37.05%
72,2018,Kabupaten Sampang,2,Wakil Bupati,H. Suparto,244.348,37.05%
72,2018,Kabupaten Sampang,3,Bupati,H. Hisan. Se,163.11,24.73%
72,2018,Kabupaten Sampang,3,Wakil Bupati,H. Abdullah. Se,163.11,24.73%
73,2018,Kabupaten Tulungagung,1,Bupati,Margiono,237.614,40.06%
73,2018,Kabupaten Tulungagung,1,Wakil Bupati,Eko Prisdianto,237.614,40.06%
73,2018,Kabupaten Tulungagung,2,Bupati,"Syahri Mulyo. Se., M.Si",355.564,59.94%
73,2018,Kabupaten Tulungagung,2,Wakil Bupati,"Drs. H. Maryoto Birowo, Mm",355.564,59.94%
74,2018,Kabupaten Kayong Utara,1,Bupati,"Masdar, S.Pd. Sd, M.Si",19.381,34.84%
74,2018,Kabupaten Kayong Utara,1,Wakil Bupati,"Zulkaslim Pebrata Tamura, S.Pd",19.381,34.84%
74,2018,Kabupaten Kayong Utara,2,Bupati,Drs. Citra Duani,24.978,44.91%
74,2018,Kabupaten Kayong Utara,2,Wakil Bupati,"H. Effendi Ahmad, S.Pdi",24.978,44.91%
74,2018,Kabupaten Kayong Utara,3,Bupati,"Abdul Halim Hasin, S.Ip,M.Si.",11.264,20.25%
74,2018,Kabupaten Kayong Utara,3,Wakil Bupati,Bukhori,11.264,20.25%
75,2018,Kota Pontianak,1,Walikota,Harry Adryanto,53.987,17.16%
75,2018,Kota Pontianak,1,Wakil Walikota,Yandi,53.987,17.16%
75,2018,Kota Pontianak,2,Walikota,"Ir. H. Edi Rusdi Kamtono, Mm, Mt",201.076,63.90%
75,2018,Kota Pontianak,2,Wakil Walikota,"Bahasan, Sh",201.076,63.90%
75,2018,Kota Pontianak,3,Walikota,"Satarudin, Sh",59.615,18.94%
75,2018,Kota Pontianak,3,Wakil Walikota,"Alpian Aminardi, Sh, Mh",59.615,18.94%
76,2018,Kabupaten Kubu Raya,1,Bupati,"H. Muda Mahendrawan, Sh",194.45,69.90%
76,2018,Kabupaten Kubu Raya,1,Wakil Bupati,"Sujiwo, Se",194.45,69.90%
76,2018,Kabupaten Kubu Raya,2,Bupati,"Ir. H. Werry Syahrial, M.H",39.111,14.06%
76,2018,Kabupaten Kubu Raya,2,Wakil Bupati,H. Muhammad Nasir Maksudi,39.111,14.06%
76,2018,Kabupaten Kubu Raya,3,Bupati,"H. Hamzah Tawil, S.Ag. M.Si",44.624,16.04%
76,2018,Kabupaten Kubu Raya,3,Wakil Bupati,Kohim,44.624,16.04%
77,2018,Kabupaten Mempawah,1,Bupati,"Drs.H.Syech Bandar,M.Si",16.991,12.96%
77,2018,Kabupaten Mempawah,1,Wakil Bupati,"Hermanto Lim,Se",16.991,12.96%
77,2018,Kabupaten Mempawah,2,Bupati,"Dr.H.Rahmad Satria,Sh.,Mh.",29.621,22.59%
77,2018,Kabupaten Mempawah,2,Wakil Bupati,"H.Ridwan Rusli,Sh.,Mm.",29.621,22.59%
77,2018,Kabupaten Mempawah,3,Bupati,"Hj.Erlina, Sh.,Mh.",54.424,41.50%
77,2018,Kabupaten Mempawah,3,Wakil Bupati,"H.Muhammad Pagi,S.Hi.,Mm.",54.424,41.50%
77,2018,Kabupaten Mempawah,4,Bupati,"Ir. H. Rudhy Bachtiar, M.Si",30.114,22.96%
77,2018,Kabupaten Mempawah,4,Wakil Bupati,Drs. H. Mochrizal,30.114,22.96%
78,2018,Kabupaten Sanggau,1,Bupati,"Yansen Akun Effendy, Sh.M.Si,Mh",100.004,42.91%
78,2018,Kabupaten Sanggau,1,Wakil Bupati,"Fransiskus  Ason, Sp",100.004,42.91%
78,2018,Kabupaten Sanggau,2,Bupati,"Paolus Hadi, S.Ip, M.Si",133.032,57.09%
78,2018,Kabupaten Sanggau,2,Wakil Bupati,"Drs. Yohanes Ontot, M.Si",133.032,57.09%
79,2018,Kabupaten Hulu Sungai Selatan,1,Bupati,H. Muhammad Najamuddin,41.349,34.54%
79,2018,Kabupaten Hulu Sungai Selatan,1,Wakil Bupati,"H.Muhamad Ridha, Sh",41.349,34.54%
79,2018,Kabupaten Hulu Sungai Selatan,2,Bupati,"Drs. H. Achmad Fikry, M.Ap",78.371,65.46%
79,2018,Kabupaten Hulu Sungai Selatan,2,Wakil Bupati,"Syamsuri Arsyad, S.Ap",78.371,65.46%
80,2018,Kabupaten Tabalong,1,Bupati,H.Norhasani,40.765,32.93%
80,2018,Kabupaten Tabalong,1,Wakil Bupati,H.Eddyan Noor Idur,40.765,32.93%
80,2018,Kabupaten Tabalong,2,Bupati,"H.Winarto, S.Pd, M.Si",8.103,6.55%
80,2018,Kabupaten Tabalong,2,Wakil Bupati,"H.Ali Sibqi, S.Pi",8.103,6.55%
80,2018,Kabupaten Tabalong,3,Bupati,"Drs. H. Anang Syakhfiani, M.Si",44.496,35.95%
80,2018,Kabupaten Tabalong,3,Wakil Bupati,"Drs. H. Mawardi, M.Si",44.496,35.95%
80,2018,Kabupaten Tabalong,4,Bupati,"Hj. Noor Farida, Se",30.418,24.57%
80,2018,Kabupaten Tabalong,4,Wakil Bupati,"Aspianor, S.Ikom, Sh,Mh",30.418,24.57%
81,2018,Kabupaten Tanah Laut,1,Bupati,Drs. H. Sukamta,107.798,62.30%
81,2018,Kabupaten Tanah Laut,1,Wakil Bupati,"Abdi Rahman, S.Pd",107.798,62.30%
81,2018,Kabupaten Tanah Laut,2,Bupati,"H. Bambang Alamsyah, S.T",65.22,37.70%
81,2018,Kabupaten Tanah Laut,2,Wakil Bupati,"Ir. H. Ahmad Nizar, S.Sos, M.Si",65.22,37.70%
82,2018,Kabupaten Tapin,1,Bupati,"Drs. H. Muhammad Arifin Arpan, Mm",85.83,80.87%
82,2018,Kabupaten Tapin,1,Wakil Bupati,"H. Syafrudin Noor, Se, S.Sos",85.83,80.87%
83,2018,Kabupaten Barito Timur,1,Bupati,"Pancani Gandrung, Sh., Msi",12.497,21.89%
83,2018,Kabupaten Barito Timur,1,Wakil Bupati,Drs. H. Mukhtar Abdul Rahman,12.497,21.89%
83,2018,Kabupaten Barito Timur,2,Bupati,"H. Supriatna, S.Pd, Mm",20.049,35.11%
83,2018,Kabupaten Barito Timur,2,Wakil Bupati,Yudha Nyampai,20.049,35.11%
83,2018,Kabupaten Barito Timur,3,Bupati,"Ampera A. Y Mebas, Se, Mm",24.555,43.00%
83,2018,Kabupaten Barito Timur,3,Wakil Bupati,Habib Said Abdul Saleh,24.555,43.00%
84,2018,Kabupaten Barito Utara,1,Bupati,H.Nadalsyah,39.281,69.02%
84,2018,Kabupaten Barito Utara,1,Wakil Bupati,"Sugianto Panala Putra, Sh",39.281,69.02%
84,2018,Kabupaten Barito Utara,2,Bupati,"Taufik Nugraha, S.Kom",17.631,30.98%
84,2018,Kabupaten Barito Utara,2,Wakil Bupati,Drs. Ompie Herby,17.631,30.98%
85,2018,Kabupaten Gunung Mas,1,Bupati,"Rony Karlos, S.Sos",12.79,22.97%
85,2018,Kabupaten Gunung Mas,1,Wakil Bupati,"Dr. Drs. Gaya, M.Pd.H",12.79,22.97%
85,2018,Kabupaten Gunung Mas,2,Bupati,Ir. Lohing Simon,20.387,36.61%
85,2018,Kabupaten Gunung Mas,2,Wakil Bupati,"Suprapto Sungan, Sh",20.387,36.61%
85,2018,Kabupaten Gunung Mas,3,Bupati,"Jaya Samaya Monong, Se, M.Si",22.509,40.42%
85,2018,Kabupaten Gunung Mas,3,Wakil Bupati,"Ir. Efrensia L.P Umbing, M.Si",22.509,40.42%
86,2018,Kabupaten Kapuas,1,Bupati,"Ir. Ben Brahim.S. Bahat,Mm.Mt",93.062,56.40%
86,2018,Kabupaten Kapuas,1,Wakil Bupati,"Drs.H.M. Nafiah Ibnor,Mm",93.062,56.40%
86,2018,Kabupaten Kapuas,2,Bupati,"Ir. H. Muhammad Mawardi, M.M.,M.Si,.",71.937,43.60%
86,2018,Kabupaten Kapuas,2,Wakil Bupati,"Ir. H. Muhajirin, Mp",71.937,43.60%
87,2018,Kabupaten Katingan,1,Bupati,"Sakariyas, Se",19.51,27.79%
87,2018,Kabupaten Katingan,1,Wakil Bupati,Sunardi,19.51,27.79%
87,2018,Kabupaten Katingan,2,Bupati,"H. Fahmi Fauzi, S.Hut",14.608,20.81%
87,2018,Kabupaten Katingan,2,Wakil Bupati,"Maspek J. Garang, Se",14.608,20.81%
87,2018,Kabupaten Katingan,3,Bupati,"H.Surya, Sh,M.Hum",16.389,23.34%
87,2018,Kabupaten Katingan,3,Wakil Bupati,"Winda Natalia,S.Hut,M.Si",16.389,23.34%
