Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Yogyakarta,2018,Reguler,-,SMAN 1 TEMPEL KAB. SLEMAN,IPA,2,65
Yogyakarta,2018,Reguler,-,SMAN 1 TEMPEL KAB. SLEMAN,IPA,3,94
Yogyakarta,2018,Reguler,-,SMAN 1 TEMPEL KAB. SLEMAN,IPS,1,45
Yogyakarta,2018,Reguler,-,SMAN 1 TEMPEL KAB. SLEMAN,IPS,2,67
Yogyakarta,2018,Reguler,-,SMAN 1 TEMPEL KAB. SLEMAN,IPS,3,90
Yogyakarta,2018,Reguler,-,SMAN 1 SLEMAN KAB. SLEMAN,IPA,1,256
Yogyakarta,2018,Reguler,-,SMAN 1 SLEMAN KAB. SLEMAN,IPA,2,44
Yogyakarta,2018,Reguler,-,SMAN 1 SLEMAN KAB. SLEMAN,IPA,3,31
Yogyakarta,2018,Reguler,-,SMAN 1 SLEMAN KAB. SLEMAN,IPS,1,96
Yogyakarta,2018,Reguler,-,SMAN 1 SLEMAN KAB. SLEMAN,IPS,2,78
Yogyakarta,2018,Reguler,-,SMAN 1 SLEMAN KAB. SLEMAN,IPS,3,20
Yogyakarta,2018,Reguler,-,SMAN 1 SEYEGAN KAB. SLEMAN,IPA,1,127
Yogyakarta,2018,Reguler,-,SMAN 1 SEYEGAN KAB. SLEMAN,IPA,2,110
Yogyakarta,2018,Reguler,-,SMAN 1 SEYEGAN KAB. SLEMAN,IPA,3,145
Yogyakarta,2018,Reguler,-,SMAN 1 SEYEGAN KAB. SLEMAN,IPS,1,103
Yogyakarta,2018,Reguler,-,SMAN 1 SEYEGAN KAB. SLEMAN,IPS,2,144
Yogyakarta,2018,Reguler,-,SMAN 1 SEYEGAN KAB. SLEMAN,IPS,3,90
Yogyakarta,2018,Reguler,-,SMAN 1 PRAMBANAN KAB. SLEMAN,IPA,1,136
Yogyakarta,2018,Reguler,-,SMAN 1 PRAMBANAN KAB. SLEMAN,IPA,2,130
Yogyakarta,2018,Reguler,-,SMAN 1 PRAMBANAN KAB. SLEMAN,IPA,3,139
Yogyakarta,2018,Reguler,-,SMAN 1 PRAMBANAN KAB. SLEMAN,IPS,1,85
Yogyakarta,2018,Reguler,-,SMAN 1 PRAMBANAN KAB. SLEMAN,IPS,2,135
Yogyakarta,2018,Reguler,-,SMAN 1 PRAMBANAN KAB. SLEMAN,IPS,3,84
Yogyakarta,2018,Reguler,-,SMAN 1 PAKEM KAB. SLEMAN,IPA,1,144
Yogyakarta,2018,Reguler,-,SMAN 1 PAKEM KAB. SLEMAN,IPA,2,58
Yogyakarta,2018,Reguler,-,SMAN 1 PAKEM KAB. SLEMAN,IPA,3,36
Yogyakarta,2018,Reguler,-,SMAN 1 PAKEM KAB. SLEMAN,IPS,1,85
Yogyakarta,2018,Reguler,-,SMAN 1 PAKEM KAB. SLEMAN,IPS,2,56
Yogyakarta,2018,Reguler,-,SMAN 1 PAKEM KAB. SLEMAN,IPS,3,8
Yogyakarta,2018,Reguler,-,SMAN 1 NGEMPLAK KAB. SLEMAN,IPA,1,36
Yogyakarta,2018,Reguler,-,SMAN 1 NGEMPLAK KAB. SLEMAN,IPA,2,81
Yogyakarta,2018,Reguler,-,SMAN 1 NGEMPLAK KAB. SLEMAN,IPA,3,132
Yogyakarta,2018,Reguler,-,SMAN 1 NGEMPLAK KAB. SLEMAN,IPS,1,49
Yogyakarta,2018,Reguler,-,SMAN 1 NGEMPLAK KAB. SLEMAN,IPS,2,89
Yogyakarta,2018,Reguler,-,SMAN 1 NGEMPLAK KAB. SLEMAN,IPS,3,117
Yogyakarta,2018,Reguler,-,SMAN 1 MLATI KAB. SLEMAN,IPA,1,56
Yogyakarta,2018,Reguler,-,SMAN 1 MLATI KAB. SLEMAN,IPA,2,159
Yogyakarta,2018,Reguler,-,SMAN 1 MLATI KAB. SLEMAN,IPA,3,111
Yogyakarta,2018,Reguler,-,SMAN 1 MLATI KAB. SLEMAN,IPS,1,98
Yogyakarta,2018,Reguler,-,SMAN 1 MLATI KAB. SLEMAN,IPS,2,79
Yogyakarta,2018,Reguler,-,SMAN 1 MLATI KAB. SLEMAN,IPS,3,59
Yogyakarta,2018,Reguler,-,SMAN 1 MINGGIR SLEMAN,IPA,1,60
Yogyakarta,2018,Reguler,-,SMAN 1 MINGGIR SLEMAN,IPA,2,56
Yogyakarta,2018,Reguler,-,SMAN 1 MINGGIR SLEMAN,IPA,3,62
Yogyakarta,2018,Reguler,-,SMAN 1 MINGGIR SLEMAN,IPS,1,74
Yogyakarta,2018,Reguler,-,SMAN 1 MINGGIR SLEMAN,IPS,2,67
Yogyakarta,2018,Reguler,-,SMAN 1 MINGGIR SLEMAN,IPS,3,57
Yogyakarta,2018,Reguler,-,SMAN 2 NGAGLIK KAB. SLEMAN,IPA,1,153
Yogyakarta,2018,Reguler,-,SMAN 2 NGAGLIK KAB. SLEMAN,IPA,2,164
Yogyakarta,2018,Reguler,-,SMAN 2 NGAGLIK KAB. SLEMAN,IPA,3,134
Yogyakarta,2018,Reguler,-,SMAN 2 NGAGLIK KAB. SLEMAN,IPS,1,124
Yogyakarta,2018,Reguler,-,SMAN 2 NGAGLIK KAB. SLEMAN,IPS,2,123
Yogyakarta,2018,Reguler,-,SMAN 2 NGAGLIK KAB. SLEMAN,IPS,3,79
Yogyakarta,2018,Reguler,-,SMAN 2 SLEMAN,IPA,1,64
Yogyakarta,2018,Reguler,-,SMAN 2 SLEMAN,IPA,2,104
Yogyakarta,2018,Reguler,-,SMAN 2 SLEMAN,IPA,3,110
Yogyakarta,2018,Reguler,-,SMAN 2 SLEMAN,IPS,1,88
Yogyakarta,2018,Reguler,-,SMAN 2 SLEMAN,IPS,2,115
Yogyakarta,2018,Reguler,-,SMAN 2 SLEMAN,IPS,3,82
Yogyakarta,2018,Reguler,-,SMAN 1 KALASAN KAB. SLEMAN,IPA,1,223
Yogyakarta,2018,Reguler,-,SMAN 1 KALASAN KAB. SLEMAN,IPA,2,47
Yogyakarta,2018,Reguler,-,SMAN 1 KALASAN KAB. SLEMAN,IPA,3,38
Yogyakarta,2018,Reguler,-,SMAN 1 KALASAN KAB. SLEMAN,IPS,1,119
Yogyakarta,2018,Reguler,-,SMAN 1 KALASAN KAB. SLEMAN,IPS,2,102
Yogyakarta,2018,Reguler,-,SMAN 1 KALASAN KAB. SLEMAN,IPS,3,39
Yogyakarta,2018,Reguler,-,SMAN 1 GODEAN KAB. SLEMAN,IPA,1,211
Yogyakarta,2018,Reguler,-,SMAN 1 GODEAN KAB. SLEMAN,IPA,2,65
Yogyakarta,2018,Reguler,-,SMAN 1 GODEAN KAB. SLEMAN,IPA,3,61
Yogyakarta,2018,Reguler,-,SMAN 1 GODEAN KAB. SLEMAN,IPS,1,87
Yogyakarta,2018,Reguler,-,SMAN 1 GODEAN KAB. SLEMAN,IPS,2,63
Yogyakarta,2018,Reguler,-,SMAN 1 GODEAN KAB. SLEMAN,IPS,3,28
Yogyakarta,2018,Reguler,-,SMAN 1 GAMPING KAB SLEMAN,IPA,1,59
Yogyakarta,2018,Reguler,-,SMAN 1 GAMPING KAB SLEMAN,IPA,2,91
Yogyakarta,2018,Reguler,-,SMAN 1 GAMPING KAB SLEMAN,IPA,3,109
Yogyakarta,2018,Reguler,-,SMAN 1 GAMPING KAB SLEMAN,IPS,1,83
Yogyakarta,2018,Reguler,-,SMAN 1 GAMPING KAB SLEMAN,IPS,2,84
Yogyakarta,2018,Reguler,-,SMAN 1 GAMPING KAB SLEMAN,IPS,3,131
Yogyakarta,2018,Reguler,-,SMAN 1 CANGKRINGAN KAB SLEMAN,IPA,1,49
Yogyakarta,2018,Reguler,-,SMAN 1 CANGKRINGAN KAB SLEMAN,IPA,2,55
Yogyakarta,2018,Reguler,-,SMAN 1 CANGKRINGAN KAB SLEMAN,IPA,3,83
Yogyakarta,2018,Reguler,-,SMAN 1 CANGKRINGAN KAB SLEMAN,IPS,1,44
Yogyakarta,2018,Reguler,-,SMAN 1 CANGKRINGAN KAB SLEMAN,IPS,2,74
Yogyakarta,2018,Reguler,-,SMAN 1 CANGKRINGAN KAB SLEMAN,IPS,3,81
