Kode,Provinsi,Kabupaten,Bahasa Indonesia,Bahasa Inggris,Matematika,Ekonomi,Sosiologi,Geografi
7210,Sulawesi Tengah,Sigi,48.1,41.58,23.56,27.5,44.77,28.31
7209,Sulawesi Tengah,Tojo Una-Una,54.4,42.97,32.72,27.43,49.34,38.27
7206,Sulawesi Tengah,Tolitoli,53.28,40.87,27.65,36.96,40.41,42.89
7271,Sulawesi Tengah,Palu,53.7,38.06,27.37,31.65,47.86,37.31
7406,Sulawesi Tenggara,Bombana,60.91,59.33,47.21,39.06,52.48,42.22
7409,Sulawesi Tenggara,Buton Utara,70.6,67.74,71.64,44.79,59.6,53.94
7404,Sulawesi Tenggara,Kolaka,46.74,45.25,27.71,36.7,47.71,42.71
7411,Sulawesi Tenggara,Kolaka Timur,60.23,57.45,53.78,41.45,46.1,40.16
7403,Sulawesi Tenggara,Konawe,52.16,51.89,46.87,30.39,50.06,39.56
7405,Sulawesi Tenggara,Konawe Selatan,62.77,55.03,54.81,43.8,50.07,45.02
7410,Sulawesi Tenggara,Konawe Utara,59.29,58.57,55.6,39.38,47.02,46.97
7402,Sulawesi Tenggara,Muna,60.79,64.24,54.57,29.53,55.94,44.66
7413,Sulawesi Tenggara,Muna Barat,61.45,60.72,62.01,45.61,62.54,49.97
7407,Sulawesi Tenggara,Wakatobi,52.01,52.96,37.72,34.08,51.82,37.98
7472,Sulawesi Tenggara,Baubau,48.86,57.51,37.53,22.75,50.19,30.72
7471,Sulawesi Tenggara,Kendari,48.06,49.18,40.59,31.31,47.92,29.63
7101,Sulawesi Utara,Bolaang Mongondow,50.67,43.04,32.55,26.15,30.18,39.46
7103,Sulawesi Utara,Kep. Sangihe,53.12,43.89,43.83,25,40.37,27.64
7104,Sulawesi Utara,Kepulauan Talaud,61.34,53.9,51.37,44.21,41.24,46.13
7102,Sulawesi Utara,Minahasa,52.39,49.96,39.29,23.22,42.1,21.03
7105,Sulawesi Utara,Minahasa Selatan,49.68,50.64,33.33,33.32,30.54,35.19
7109,Sulawesi Utara,Minahasa Tenggara,48.83,39.31,29.52,21.8,39.16,19.79
7106,Sulawesi Utara,Minahasa Utara,46.52,45.32,30.5,22.35,40.33,18.08
7172,Sulawesi Utara,Bitung,46,32.77,26.17,29.67,39.19,22.63
7174,Sulawesi Utara,Kotamobagu,45.9,33.76,21.81,26.84,35.63,38.99
7171,Sulawesi Utara,Manado,46.68,39.38,26.37,24.52,35.28,15.95
7173,Sulawesi Utara,Tomohon,60.22,50.31,37.29,33.97,36.34,11.68
1307,Sumatera Barat,Agam,64.75,37.64,38.53,49.01,58.5,46.44
1311,Sumatera Barat,Dharmasraya,60.36,32.56,31.24,39.29,56.02,44.56
1301,Sumatera Barat,Kepulauan Mentawai,47.7,28.91,24.73,32.98,41.48,34.96
1308,Sumatera Barat,Lima Puluh Koto,63.56,47.78,41.69,52.35,57.04,44.88
1306,Sumatera Barat,Padang Pariaman,57.1,43.14,44.33,39.59,54.09,42.34
1309,Sumatera Barat,Pasaman,58.01,51.32,46.66,33.28,49.51,40.39
1312,Sumatera Barat,Pasaman Barat,58.19,39.17,33.36,36.59,54.14,37.68
1302,Sumatera Barat,Pesisir Selatan,54.06,45.45,38.4,45.09,52.57,41.6
1304,Sumatera Barat,Sijunjung,64.97,34.31,35.07,44.28,60.78,51.49
1303,Sumatera Barat,Solok,61.59,37.61,33.31,39.78,57.07,33.74
1310,Sumatera Barat,Solok Selatan,59.71,49.25,48.53,27.51,54.48,41.28
1305,Sumatera Barat,Tanah Datar,67.61,47.57,48.86,55.99,63.14,48.5
1375,Sumatera Barat,Bukittinggi,67.88,44.35,44.42,48.49,62.63,40.18
1371,Sumatera Barat,Padang,61.13,53.95,53.74,44.64,59.06,46.7
1374,Sumatera Barat,Padang Panjang,70.19,48.38,49.69,52.83,58.07,47.46
1377,Sumatera Barat,Pariaman,59.74,42.35,43.53,45.11,58.18,42.05
1376,Sumatera Barat,Payakumbuh,67.94,42.64,43.6,57.79,61.74,35.86
1373,Sumatera Barat,Sawah Lunto,68.57,39.15,36.57,41.01,60.89,31.44
1372,Sumatera Barat,Solok,64.05,50.34,53.66,37.57,56.72,36.81
1607,Sumatera Selatan,Banyuasin,53.76,30.31,29.41,25.07,41.41,28.05
1604,Sumatera Selatan,Lahat,49.64,29.69,27.67,28,39.32,35.22
1603,Sumatera Selatan,Muara Enim,52.46,31.06,30.17,29.58,39.68,33.46
1606,Sumatera Selatan,Musi Banyuasin,51.83,29.74,26.5,20.19,35.89,24.32
1605,Sumatera Selatan,Musi Rawas,60.02,49.56,55.24,25.94,54.63,31.34
1610,Sumatera Selatan,Ogan Ilir,51.99,29.8,28.68,33.04,39.73,28.89
1602,Sumatera Selatan,Ogan Komering Ilir,49.39,32.08,32.86,35.77,38.75,34.29
1601,Sumatera Selatan,Ogan Komering Ulu,51.47,31.44,28.7,33.4,46.32,33.6
1608,Sumatera Selatan,Ogan Komering Ulu Selatan,53.46,35.64,35.09,31.81,36.56,33.65
1609,Sumatera Selatan,Ogan Komering Ulu Timur,54.52,29.86,30.86,30.9,48.3,32.06
1674,Sumatera Selatan,Lubuk Linggau,52.49,33.59,34.73,29.13,41.85,35.99
1673,Sumatera Selatan,Pagar Alam,49.26,29.15,24.34,32.53,37.93,31.73
1671,Sumatera Selatan,Palembang,55.67,35.69,31.38,31.97,46.37,33.88
1672,Sumatera Selatan,Prabumulih,53.53,31.84,32.47,27.38,49.15,37.48
1208,Sumatera Utara,Asahan,58.41,49.36,49.18,24.34,44.52,42.83
1219,Sumatera Utara,Batubara,49.65,30.23,29.24,27.61,47.81,41.61
1212,Sumatera Utara,Deli Serdang,63.48,56.29,60.35,33.04,41.66,23.73
1211,Sumatera Utara,Karo,66.19,51.11,54.21,53.4,62.51,56.44
1223,Sumatera Utara,Labuhan Batu Utara,54.13,40.32,42.73,42.88,39.85,39.53
1202,Sumatera Utara,Mandailing Natal,49.17,27.09,28.25,34.42,47.88,33.56
1220,Sumatera Utara,Padang Lawas utara,49.28,35.5,36.24,32.58,47.03,31.22
1216,Sumatera Utara,Pakpak Bharat,70.14,72.35,75.07,52.6,72.9,65.31
1218,Sumatera Utara,Serdang Bedagai,51.39,35,31.79,22.49,38.39,25.42
1203,Sumatera Utara,Tapanuli Selatan,54.73,33.54,33.7,42.09,51.49,42.34
1205,Sumatera Utara,Tapanuli Utara,54.78,41.88,38.61,45.06,51.97,36.88
1206,Sumatera Utara,Toba Samosir,62.09,43.5,41.54,48.65,51.49,45.18
1276,Sumatera Utara,Binjai,59.45,49.03,48.44,32.84,45.52,38.03
1278,Sumatera Utara,Gunungsitoli,61.25,51.1,49.88,54.19,61.73,51.56
1275,Sumatera Utara,Medan,60.43,48.46,46.64,37.59,51.97,37.22
1277,Sumatera Utara,Padang Sidimpuan,49.91,32.42,29.29,36.02,34.14,26.92
1273,Sumatera Utara,Pematangsiantar,62.96,48.47,50.3,44.23,53.72,40.7
1274,Sumatera Utara,Tebing Tinggi,53.51,32.92,31,31.99,42.64,28.04
1107,Aceh,Aceh Barat,47.54,33.28,29.24,23.49,32.08,26.34
1112,Aceh,Aceh Barat Daya,43.75,26.28,27.16,26.37,38.35,35.49
1108,Aceh,Aceh Besar,45.39,28.32,27.98,34.52,38.28,34.06
1116,Aceh,Aceh Jaya,53.35,44.19,36.38,22.01,26.06,37.97
1103,Aceh,Aceh Selatan,48.03,30.75,28.43,30.4,43.63,30.36
1102,Aceh,Aceh Singkil,50.55,34.09,37.04,36.17,46.51,41.97
1115,Aceh,Nagan Raya,43.28,26.85,27.83,28.22,35.46,30.31
1101,Aceh,Simeulue,48.86,42.81,36.67,40.1,46.73,39.6
1173,Aceh,Langsa,52.58,39.42,33.61,29.62,38.63,31.25
1172,Aceh,Sabang,51.5,27.54,27.96,39.56,48.31,40.72
1175,Aceh,Subulussalam,52.75,37.84,40.23,29.03,36.08,17.31
3101,D.K.I. Jakarta,Kepulauan Seribu,53.86,27.86,28.98,39.63,44.9,45.56
3512,Jawa Timur,Situbondo,56.78,33.13,31.67,35.84,54.93,36.66
3574,Jawa Timur,Probolinggo,63.06,41.87,39.57,37.78,54.68,42.84
6105,Kalimantan Barat,Sanggau,58.88,30.05,25.9,37.43,51.7,40.04
6107,Kalimantan Barat,Sintang,59.77,32.43,30.04,29.25,45.42,39.22
6307,Kalimantan Selatan,Hulu Sungai Tengah,61.21,45.27,43.33,29.44,48.48,45.03
6308,Kalimantan Selatan,Hulu Sungai Utara,62.66,46.78,30.33,34.55,53.91,38.91
6302,Kalimantan Selatan,Baru,57.81,37.95,32.84,19.82,43.42,26.01
6305,Kalimantan Selatan,Tapin,56.79,39.67,29.75,34.41,50.93,28.01
6201,Kalimantan Tengah,Kotawaringin Barat,59.7,39.07,34.32,34.57,48.92,40.72
6206,Kalimantan Tengah,Sukamara,59.81,34.1,32.38,22.11,56.46,41.57
6411,Kalimantan Timur,Mahakam Ulu,58.4,59.49,60.15,16.61,32.36,56.98
2105,Kepulauan Riau,Kepulauan Anambas,52.67,34.53,30.34,37.69,33.7,44.25
2104,Kepulauan Riau,Lingga,58.13,30.22,28.43,38.84,42.14,28.98
2103,Kepulauan Riau,Natuna,58.49,34.5,30.55,39.31,53.2,33.94
1801,Lampung,Lampung Barat,54.72,29.81,29.84,26.45,31.97,39.97
1811,Lampung,Mesuji,50.26,27.63,24.09,19.56,35.25,25.18
1809,Lampung,Pesawaran,53.24,28.81,28.54,28.55,43.08,32.38
1813,Lampung,Pesisir Barat,47.92,26.7,26.66,23.98,43.34,27.18
1812,Lampung,Tulang Bawang Barat,57.4,32.55,30.42,40.31,53.53,33.7
8104,Maluku,Buru,62.66,66.52,67.93,52.11,56.24,60.43
8105,Maluku,Kepulauan Aru,40.9,37.47,33.36,24.81,43.08,34.43
8108,Maluku,Maluku Barat Daya,49.17,42.87,45.17,39.08,44.02,41.3
8107,Maluku,Seram Bagian Timur,64.35,67.05,71.57,51.8,53.94,50.31
8172,Maluku,Tual,40.95,33.96,27.53,37.26,36.89,38.24
8208,Maluku Utara,Pulau Taliabu,53.01,50.4,42.51,48.17,63.46,51.54
5308,Nusa Tenggara Timur,Lembata,55.04,38.95,29.7,37.72,55.01,48.77
5321,Nusa Tenggara Timur,Malaka,38.9,31.97,24.99,24.46,37.62,30.37
5312,Nusa Tenggara Timur,Ngada,61.3,37.44,35.12,44.93,55.57,45.79
5320,Nusa Tenggara Timur,Sabu Raijua,39.73,28.44,24.79,27.99,37.22,37.09
5317,Nusa Tenggara Timur,Sumba Barat Daya,41.65,46.31,31.17,41.95,45.39,43.14
5305,Nusa Tenggara Timur,Timor Tengah Utara,49.41,35.8,28.84,31.9,44.52,39.64
9415,Papua,Asmat,57.46,58.87,52.38,26.5,54.39,48.91
9413,Papua,Boven Digoel,45.9,38.62,41.58,0,40.21,0
9436,Papua,Deiyai,45.74,35.03,53.21,0,43.96,0
9434,Papua,Dogiyai,62.91,56.31,74.06,0,61.08,0
9402,Papua,Jaya Wijaya,54.66,48.84,58.19,31.23,37.57,22.7
9403,Papua,Jayapura,39.27,29.36,26.91,25.9,30.21,20.23
9420,Papua,Keerom,43.92,39.73,37.73,38.56,48.7,34.26
9430,Papua,Lanny Jaya,55.23,52.73,65.16,40.29,51.58,54.79
9414,Papua,Mappi,34.11,31.72,27.39,0,0,32.65
9401,Papua,Merauke,48.27,35.47,29.94,26.9,43.43,36.12
9410,Papua,Paniai,55.04,67.43,63.05,0,23.25,0
9417,Papua,Pegunungan Bintang,52.52,47.09,49.55,45.23,47.72,53.17
9433,Papua,Puncak,66.56,58.51,68.84,0,35.87,28.32
9411,Papua,Puncak Jaya,41.43,31.9,47.3,29.93,30.48,40.81
9419,Papua,Sarmi,50.27,43.59,45.07,40.09,30.14,30.08
9427,Papua,Supiori,34.8,41,29.51,14.51,28.75,15.36
9418,Papua,Tolikara,65.22,57.87,70.06,0,57.53,0
9426,Papua,Waropen,37.98,26.97,23.11,11.14,12.51,36.49
9416,Papua,Yahukimo,52.72,45.45,75.97,0,52.27,0
9432,Papua,Yalimo,58.07,56.5,49.11,40.04,57.11,54.68
9101,Papua Barat,Fak-Fak,56.37,47.16,53.19,45.66,46.18,43.55
9102,Papua Barat,Kaimana,41.81,28.78,21.17,22.46,39.1,42.17
9105,Papua Barat,Manokwari,47.86,44.96,40.65,33.9,40.64,38.75
9111,Papua Barat,Manokwari Selatan,43.94,39.19,35.23,36.65,25.9,41.69
9110,Papua Barat,Maybrat,58.61,62.97,56.56,28.47,21.2,30.02
9108,Papua Barat,Raja Ampat,68.6,53.75,66.37,50,47.24,43.29
9106,Papua Barat,Sorong Selatan,49.15,43.7,42.7,43.83,49.2,34.45
9109,Papua Barat,Tambrauw,49.58,46.82,56.24,39.95,0,0
9104,Papua Barat,Teluk Bintuni,56,52.66,53.02,43.05,44.28,35.22
9103,Papua Barat,Teluk Wondama,51.93,43.5,58.44,49.08,47.18,47.97
9171,Papua Barat,Sorong,48.46,43.3,41.26,30.62,43.49,38.85
7211,Sulawesi Tengah,Banggai Laut,60.37,46.2,35.79,23.61,52.06,38.83
7401,Sulawesi Tenggara,Buton,53.82,52.24,39.73,25.8,48.66,40.67
7415,Sulawesi Tenggara,Buton Selatan,56.15,64.79,50.92,40.04,58.98,46.84
7414,Sulawesi Tenggara,Buton Tengah,56.4,57.89,40.51,33.46,57.78,44.15
7408,Sulawesi Tenggara,Kolaka Utara,47.81,49.96,31.04,32.88,53.46,38.72
7412,Sulawesi Tenggara,Konawe Kepulauan,69.41,62.68,67.87,43.55,12.07,23.76
7110,Sulawesi Utara,Bolaang Mongondow Selatan,46.9,34.8,25.48,34.11,44.19,41.99
7111,Sulawesi Utara,Bolaang Mongondow Timur,45.66,34.27,38.39,10.31,43.56,27
7107,Sulawesi Utara,Bolaang Mongondow Utara,45.14,34.66,26.34,34.74,40.87,46.75
7108,Sulawesi Utara,Kepulauan Sitaro,64.03,54.52,48.38,52.13,62.81,51.71
1611,Sumatera Selatan,Empat Lawang,48.09,26.21,24.16,26.03,39.12,25.26
1613,Sumatera Selatan,Musi Rawas Utara,47.07,27.02,25.23,40.87,42.81,36.15
1612,Sumatera Selatan,Penukal Abab Lematang Ilir,46.4,31.15,32.93,12.74,33.76,38.11
1210,Sumatera Utara,Dairi,63.37,61.25,61.96,52.55,63.29,41.62
1215,Sumatera Utara,Humbang Hasudutan,59.85,47.15,46.48,42.59,52.6,46.13
1207,Sumatera Utara,Labuhan Batu,61.79,60.98,61.94,53.27,51.55,39.39
1222,Sumatera Utara,Labuhan Batu Selatan,51.41,34.17,32.77,20.43,38.61,29.37
1213,Sumatera Utara,Langkat,63.98,53.75,59.9,34.25,47.7,34.93
1201,Sumatera Utara,Nias,47.66,37.65,42.58,38.82,31.3,30.95
1225,Sumatera Utara,Nias Barat,53.97,52.77,46.06,31.49,43.03,46.07
1214,Sumatera Utara,Nias Selatan,50.42,49.28,50.02,44.83,36.43,29.55
1224,Sumatera Utara,Nias Utara,49.77,45.63,44.98,35.63,47.81,40.03
1221,Sumatera Utara,Padang Lawas,48.62,45.33,44.62,46.45,48.35,54.08
1217,Sumatera Utara,Samosir,59.56,50.88,48.5,53.24,55.08,49.7
1209,Sumatera Utara,Simalungun,66.88,67.26,75.73,40.31,55.05,41.68
1204,Sumatera Utara,Tapanuli Tengah,51.06,40.05,42.25,39.41,48.33,40.33
1271,Sumatera Utara,Sibolga,58.23,34.24,33.43,43.78,44.69,46.15
1272,Sumatera Utara,Tanjung Balai,62.83,65.53,70.25,45.87,58,50.82
9112,Papua Barat,Pegunungan Arfak,58.62,65.7,61.43,22.79,53,45.66
9429,Papua,Nduga,66.25,53.17,66.25,0,63.67,0
6503,Kalimantan Utara,Tana Tidung,54.95,35.68,31.56,44.17,56.68,45.59
9435,Papua,Intan Jaya,58.86,65.71,61.43,57.5,56.8,56
9428,Papua,Memberamo Raya,62.43,55.26,62.49,49.27,42.51,62.53
9431,Papua,Membramo Tengah,66.36,69.6,77.64,61.11,55.01,76.98
